aaaa	工
ajdn	慕
ajdr	摹
ajef	萌
ajf	昔
ajfj	草
ajfu	莳
ajjf	菖
ajlc	蔓
ajqn	葛
ajqg	鹊
ajtl	蓝
aju	茧
ajvb	郾
ajvg	𬸘
akgd	或
akbf	葺
akby	蕺
akd	叵
akfj	革 鞒
akfb	鞯
akfc	靶 鞁
akfd	鞅
akfe	勒 鞘 靿
akff	鞋 鞲 靬
akfg	靼 鞧 靽
akfh	鞴 鞮
akfk	鞳
akfn	鞨
akfo	鞠
akfp	鞑 鞬
akfq	靰 鞔
akfr	鞭 靳
akfs	鞣 靺
akfu	鞡
akfv	鞍
akfx	靴
akfy	鞫 靸 韂
akge	勤
akgb	鄞
akgf	堇
akgn	惑
akgq	觐
akgy	彧
akhk	蕗
akhm	匮 蒉
akkm	颧
akkf	莒
akkg	鹳
akkn	萼
akmw	莴
akuo	燕
akwu	𦭜
alf	苗
aldy	蔑
aldn	蒽
aldu	茵
alfj	薯
alk	匣
alkf	茴
alll	藟
alnu	葸
alpu	莲
alph	瞢
alpx	薨
alpy	甍
alqu	萝
alqg	鹋
altu	菌
alvv	匦
amwu	黄 芮
amdu	英
amef	蓇
amff	苒 斠
amfp	遘
amfq	觏
amgk	茼
amhk	匝 萜
amkf	苘
amqb	苋
amu	贡
amwk	黇
anv	世
anab	苠
anb	艺 芑
anbm	䓛
and	巨
anff	蔚
angb	𦰡
anhk	蔬
anhc	葭
ankf	薜
anme	勚
anmu	贳
annn	蕊
antr	苾
anu	芯
anud	荬
anwe	蓼
anyi	忒
anyu	荩
anyw	苡
aoao	蔗
aojf	蔊
aono	藨
aoou	菼
aosd	蘑 蘼
aosr	藦
aovf	蒌
aovt	薮
aper	劳
apdf	菪
apfe	蒙
apfc	蔻
apff	茔 蒄
apfg	鹲
apfq	莞
apgy	莹
apgf	苎
apgg	萱
apgh	萣
aphn	菅
apiu	荥
apju	萤
apjw	蓂
apkk	营
aplj	荤
apnf	茕
apou	荧
apqg	莺
apqb	菀
apqf	蓥
aprm	䓨
apsu	荣
apsj	苧
aptg	荦
apu	芝
apwk	蓉
apwe	䓖
apwj	蓿
apwu	茓
apwy	葖
apxi	萦
aqty	获 莸
aqab	芪
aqay	茋
aqbb	苑
aqef	萏
aqeg	薢
aqgy	葡
aqgb	茚
aqgg	藓
aqgj	蓟
aqjf	荀
aqkt	敬
aqkf	苟 茗
aqkr	擎
aqks	檠
aqky	警 菟
aqnb	苞
aqou	菊
aqrn	葱
aqrm	萄
aqrr	芴
aqtb	茆
aqto	荻
aqv	匹
aqwu	芡
aqyu	芍
aqyg	茑
ari	区
arcb	葩
arcg	萚
arcy	蓏
ardy	菝
argy	瓯 蒱
ariu	茱
arj	芹
ark	匠
arqw	欧
arqc	蒐
arqg	鸥
arqq	蔸
arqy	菂
arrr	藠
artf	萆
aru	艾
arwc	殴
askf	苛
asf	茜
asfi	蔈
asgf	苯
asgo	蘸
ashf	葙
asjf	蕈
asrj	菥
aswc	菘
aty	攻
atay	苌
atbr	莠
atdi	医 繄
atdj	荞
atdn	翳
atdp	蓬
atfj	芊
atfn	芼
atfp	莛
atgf	董
atgn	翘
atgo	薰
atgq	尧
atgs	荇
athh	蓰
atjj	莉
atlx	蓖
atmt	薇
atmd	薁
atol	蕃
atou	萩
atqi	藜
atqs	蘅
atry	莪
atvf	萎
atvg	葎
atxi	蘩
atxu	莓
auqf	蒋
auaj	荓
aube	蒴
aufj	莘
aujn	薏
aukf	菩 𬜬
aukb	蔀
aulr	蕲
aumt	蔽
auqw	茨
auqk	蒟
ausr	薪
autd	蒺
auvo	蒹
auwy	蔺
avt	切
avb	艽
avdf	菇 薅
aveu	茛
avfu	荨
avij	萧
aviu	菉
avkf	茹 苕
avtk	莙
avyu	芄
awu	共
awbb	苍
awbh	䢼
awcn	蓊
awct	葰
awcu	芟
awdy	茯
awfi	蔡
awfc	荟
awff	茌
awfu	苻
awgd	葵
awge	蒨
awgf	荃
awgg	莶
awgk	匼
awgs	荼
awgt	蔹
awht	莜
awjj	芥
awkh	茽
awks	葆
awnu	恭
awnb	巷 孽
awnf	薛
awno	糵
awns	蘖
awsu	茶
awsk	荷
awtf	荏
awuf	莅
awuk	蓓
awvr	芬
awvs	棻
awwi	巫
awwf	莝
awwg	鹀
awwq	觋
awwu	苁
awxb	花
awyn	恐 芩 菍
awyc	苓
awyf	萑
awyj	蛩 劐
awyo	蕉
awyq	銎
awyu	芃
awyy	巩
axqy	药
axaf	荭
axb	芎
axfu	荮
axgn	莼
axjl	蕴
axjj	茀
axkj	蔃
axth	薿
axtr	芗
axuu	蒻
axxb	芘
axxf	荜
axxr	蒈
ayr	芳
aycq	茺
ayhu	苄
ayi	弋
ayjn	蔼
ayjj	荠
ayke	蓑 蘘
aykk	蒿
ayks	藁 葶
aynk	荒
ayna	匾 萹
aynb	芒
aynr	芦
aynw	荄
ayqg	鸢
ayrc	蓠
aytd	蔟
ayty	𫇭
ayuh	蒂
ayu	芠
ayuy	蒡
ayve	莨 蓢
aywf	萃
aywr	茭
ayxl	蓄
ayxy	蕹
bnh	了
baiy	陈
bbbb	子
bbcy	陬
bbf	孕
bbg	孖
bbh	耶
bbk	𠙶
bcy	取
bcag	陉
bccu	聂
bccm	颞
bciu	聚
bcib	鄹
bclf	盈
bcla	戤
bcvf	娶
bdep	随
bdae	隋
bdan	隳
bdef	堕
bdii	承
bdjg	陌
bdmj	陑
bdxy	陇
beg	阴
begg	阻
beqn	𨺙
bfiy	际
bfdj	孺
bfhy	陡
bfjh	阱
bfqn	阮
bfwt	陵
bgd	卫
bgbh	陆
bghg	耳
bgkh	隔
bgmn	陋
bgud	陕
bhg	耻
bhcy	陂
bhgj	蚩
bhht	陟
bhhg	骘
bhkg	阽
bhnn	鼐
biy	孙
bibk	函
bigf	丞
bigb	卺
bigo	烝
biji	隙
bipi	逊
biu	尕
bjg	阳
bjfg	陧
bjmy	隅
bjxo	隰
bkwy	职
bkcg	亟
bkhm	聩 𬯎
bkmy	陨
blh	阵
blet	勐
blf	孟
blge	隈
bmk	出
bmbh	䢺
bmfi	祟
bmfg	聃
bmgn	聘
bmnn	𬮿
bmou	粜
bnhn	也
bnhg	孑
bnn	孔
bnt	乃
boy	耿
bpfq	院
bpk	辽
bpqn	耽
bpsh	聍
bpxn	陀
bqvn	隐
bqeg	陷
bqnn	孢
bqrm	陶
bqtb	聊
brcy	孤 阪
brgg	隍
briy	陎
brqc	隗
brtf	陴
bskg	阿
bsh	耵
btah	降
btaf	陞
btdg	聒
btfg	陲
btfh	阡
btgg	隆
bthf	阼
btmd	隩
bty	孜
budy	联
buep	隧
bujf	障
bukn	聪
bukg	陪
buwl	隘
bvey	限
bwy	队
bwfy	附
bwff	坠
bwgs	除
bwgg	险
bwgj	隃
bwjh	阶
bwyc	聆
bxxf	陛
bxi	乸
byi	及 孓
byjh	𬯀
bynw	孩 陔
byt	防
nywy	以
cay	戏
cabh	𨚕
cadm	颈
caet	劲
caj	弁
cajh	刭
capd	迳
cayk	巯
cbh	邓
cccc	又 叕
cccf	垒
cccg	叠
cccj	剟
cccm	颡
cccs	桑
ccy	双
cder	参
cddf	叁
cden	毵
cdlf	畚
cexx	能
cehp	通
cehe	勇
cehj	甬
cehn	恿
cet	劝
cexo	熊
cfy	对
cff	圣
cfnu	怼
cgd	马
cgar	驱
cgaq	骁
cgaw	骐
cgbi	骤
cgbn	驰
cgcj	骚
cgce	骖
cgcg	驿 骉
cgck	骀
cgct	骏
cgcy	驭
cgdd	𬴃
cgdg	𬳵
cgdi	𫘪
cgdk	骑
cgdy	驮
cged	𫘬
cgeg	驵
cgfh	骦
cggy	骊
cghd	𬴂
cgjg	驲
cgjh	𫘨
cgjs	骒
cgkr	驶
cgkh	驯
cgli	骡
cgld	骃
cglg	驷
cgmn	骋
cgmk	𬳶
cgnb	骣
cgnw	𫘝
cgoh	𬴊
cgpx	驼
cgqk	驹
cgql	骝
cgqm	𫘦
cgqv	驺
cgrr	驳
cgsi	骠
cgtj	骄
cgtk	骆
cgtn	骢
cgtq	𬳽
cguw	骥
cgua	骈
cguf	骍
cgvc	骎
cgvi	𫘧
cgvj	骕
cgwg	验
cgwd	骙
cgwf	驸 骅
cgws	𬳿
cgwy	骓
cgya	骗
cgye	骧
cgyg	驻
cgyn	驴 骟
cgyw	骇
cgyx	𫠊
cgyy	𫘜
ckf	台
ckbh	邰
cknu	怠
ckou	炱
ckpd	迨
cksu	枲
cmqn	观
cmj	岊
cnhn	巴 矜
cnhm	预
cnhe	豫
cnhg	鹜 骛 鹬
cnhh	瞀
cnhj	予 蟊 蝥
cnhk	矞
cnhp	遹
cnhq	鍪
cnhs	柔
cnht	矛
cnhv	婺
cqb	允
cqwy	欢
cqyg	鸡
ctdu	矣
ctdw	欸
ctgj	牟
cvey	艰
cwyg	难
cwtp	逡
cwtc	皴
cyi	叉
cyju	蚤
dhfd	在
daf	左
dadr	厮
dade	磡
dag	矼
daht	砑
daif	礴
dajd	厝
dajg	碏
damh	砸
dans	碟
dape	礞
daru	奁
dary	砹
datq	硗
davt	砌
dawy	硔
dayn	硭
dbdm	顾
dbf	耷
dbmh	础
dbv	厄
dcu	友
dcag	硁
dccs	磉
dcde	碜
dcei	鬃
dceb	鬈 髢
dcec	鬘
dcee	鬟
dcef	髯 髽
dcek	髫 髻
dcen	髦 鬣
dceo	鬏
dceq	髡
dces	髹
dcew	鬓 鬒
dcex	髭
dcgg	码
dcng	翃
dcvg	肆
dcwy	雄
dddd	大
ddcu	套
dddf	磊
ddgy	碱
ddgq	砺
ddht	厦
ddhd	碶
ddjj	奭
ddmy	硕
ddny	厖
ddpy	鿎
ddqq	䃎
ddyi	厌
ddyc	魇
ddyd	靥
ddye	餍
ddyl	厣
ddyo	黡
deg	胡
debh	郁
dee	历
deeg	硼
e	有
degg	砠
deqg	鹕
der	夯
dfu	夺
dfaj	奔
dfcl	磕
dfcy	砝
dfef	辱
dfei	辰
dfej	蜃
dfek	唇
dfff	奎
dffg	硅
dfh	矸
dfiu	奈
dflg	礌
dfnb	夸
dfnj	刳
dfnn	匏
dfny	砖 瓠
dfsh	礵
dftj	奢
dfwy	砆
dfyi	压
dggg	三
dgah	研
dgaj	硎
dgbn	砘
dgeg	碃
dghg	古
dgjr	硬
dgkn	感
dgkf	厨
dgkh	觱
dgky	咸
dglg	礓
dgmj	𥕢
dgmy	碛
dgqe	厉 励
dgt	厂
dgtg	石
dguf	砰
dgud	硖
dgvy	威
dgxy	戌 碡
dhpi	还
dhau	戛
dhbd	存
dhcy	破
dhdn	慧
dhdf	砉
dhdj	奡
dhdv	彗
dheh	甭
dheg	𬒔
dhgh	歪 蹙
dhgb	邳
dhgf	丕
dhgy	戚
i	不
dhk	丰
dhkf	否
dhkg	砧
dhqc	艳
dhtu	夏
dhvd	契 䂮
dhvb	孬
dhvi	絜
dhvn	恝
dhvr	挈
dhvv	㛃
ditn	耗
diae	耢
diaf	耩
diaj	耤
dias	磲
dibg	耔
dicn	耙
didf	耨
didt	耰
dieg	硝
difj	耕
difc	耘
dihn	耜
dii	耒
diik	耥
diit	耖
dijy	耦
diod	耱
diov	耧
ditt	砂
diu	泵
diwk	耠
diyy	耪
djf	百
djbd	厚
djdj	皕
djfd	厘
djgf	碍
djhh	砷
djnb	奄
djng	鹌
djqn	碣
djtq	𬒗
dkf	右
dkj	夼
dkkn	𥔲
dkks	𥖨
dlf	奋
dlge	碨
dlh	砗
dlk	厍
dmjd	面
dmaw	碘
dmdo	碳
dmfk	碉
dmgk	硐
dmhj	布
dmjj	而
dmje	勔 耏
dmjf	耐
dmjg	鸸
dmjk	厕
dmjn	恧
dmjv	耍
dmnn	硙
dmqn	砚
dmu	页
dnxy	成
dnae	碾
dndy	臧
dney	尨
dngd	尪
dnhc	嘏
dnjl	尴
dnqy	尥
dnrt	砀
dnv	尢
dnwj	尬
dnwy	砄
dnxl	盛
dnyi	尤
dot	矿
dolf	盔
doqh	磷
dou	灰
dpi	达
dpgg	碹
dpgh	碇
dpqb	碗
dptg	牵
dpwa	硿
dpxn	砣
dqb	克
dqay	砥
dqaj	碈
dqas	磔
dqdq	兢
dqdb	硊
dqeh	确
dqjk	剋
dqqu	奓
dqwy	砍
dqyg	鸪
drii	原
drh	斫
drin	愿
drrr	爽
drtf	碑
dsk	厅
dsg	硒
dsgg	砵
dshd	厢
dsjg	碴
dsjf	磹
dskf	奇
dskj	剞
dskw	欹
dty	故
dtbh	邦 帮
dtdj	硚
dtfu	寿
dtfo	焘
dthf	砟
dtkg	硌
dtlr	硇
dtni	砾
dtnn	矻
dtol	磻
dtpy	砭
dtry	硪
duxx	磁
dubw	厥
dubj	劂
dufj	辜
dug	砬
duga	磋
dujg	鹩
dukg	碚
dulh	䃅
duog	碰
duvo	磏
dviy	碌
dvcq	厩
dvey	硍
dwjf	春
dwag	砼
dwef	舂
dwfi	磜
dwgd	奏
dwgj	奉
dwgu	磴
dwi	仄
dwiu	泰
dwjj	蠢
dwn	矶
dwry	砜
dwtu	秦
dwwy	雁
dwwm	赝
dwyg	碓
dwyo	礁
dwyy	矾
dxyi	龙 戊
dxxn	砒
dxye	袭
dxyb	聋
dxyd	砻 䶮
dxyf	垄
dxyw	龚
dxyy	詟
dyi	太 丈 犬
dyck	硫
dydr	飙
dygg	砫
dykt	礅
dynu	态
dyna	碥
dyuy	磅
dyuh	碲
dywf	碎
dywe	磙
dyxy	戍
eawc	毁
eafy	腻
eag	肛
eaiy	胨
eaj	舁
eajd	膜 貘
eajg	腊
eape	朦
eary	䝙
ebcy	服
ebbh	郛
ebf	孚
ebmh	朏
ebnn	乳
ecn	肥
ecag	胫
eckg	胎
edmy	须
edcy	肱 胈
edfn	胯
edg	𦙶
edhg	胚
edjg	貊
edjn	腌
edmd	腼
edmv	媭
edwd	腠
edxy	胧
edyy	肽
eeee	月
eebg	脬
eeen	勰
eef	舀
eefy	脟
eeg	朋
eeqg	鹏
eet	肋
eewy	胁 腴
efcb	脚
efcy	肢 胠
efdj	臑
efg	肚
efh	肝
efhw	虢
efiy	䏡
efjh	肼
efke	膨
efkc	臌
efmf	腩
efnn	肟
efny	䏝
efpb	脖
eftt	豺
efwy	肤
efy	肘
egd	且
egbn	肫
egcu	县
egcn	悬
egdc	爰
eget	助
egef	膊
egeg	腈
egey	脯 豚 脿
egjg	貆
egkh	膈
egmh	肺
egwy	雎
egxw	胰
ehk	用
ehcu	叟
ehdd	腓
ehgh	胩
ehnt	胪
eipf	膛
eigq	胱
eilf	盥
ejgg	胆
ejh	刖
ejhh	胂
ejlg	腽
ejtg	腥
ekg	加
ekcg	驾
ekhh	肿
ekks	臊
ekkn	腭
ekmu	贺
ekmw	脶
ekpd	迦
eksu	架
eksk	哿
ekye	袈
eler	舅
eldy	胭
elgw	舆
elgy	腘
elh	胛
elny	腮
elty	䐃
elvf	爵
emqb	觅
emaw	腆
emdj	腨
emgk	胴
emgo	爨
emgy	璺
emwy	肭
ent	力
endg	腒
eniy	脲
enrt	肠
enun	鼠
enud	鼷 鼫
enue	鼱
enuk	鼯 鼩
enum	鼬
enuv	鼹 鼢
env	甩
eofg	脏
eoqh	膦
eovg	𦝼
eowf	腑
eoy	脒
epe	边
epcu	受
epdc	爱
epey	脓
epfi	腙
epfq	脘
epgh	腚
epqb	腕
epqh	舜
eprw	膑
epvg	胺
epwa	腔
eqrb	胸
eqay	胝
eqdb	脆
eqiy	朓
eqkg	朐
eqnn	胞
eqou	舄
eqwy	肷
eqyy	豹
erqn	貌
ercy	胍
erfh	腯
eriy	腺
ermp	遥
ermg	鹞
ermi	繇
erqp	邈
ersy	脎
ertf	脾
esu	采
eset	彩
esfi	膘
esvg	腰
eswi	膝
etgg	胜
etay	胀
etbn	胣
etfm	臜
ethg	臼
ethf	胙
etjt	腹
etkg	胳 貉
etlx	貔
etyt	豸
eukq	脱
euah	胼
eudg	腾 䲢
eudf	塍
eudi	滕 縢
eudj	螣
eudv	媵
eudy	朕
eugh	胖
eugk	膳
eujn	臆
euxt	䏲
evf	妥
evep	腿
evgp	腱
evkg	貂
ewi	办 臾
ewcy	股
ewet	胗
ewfc	脍
ewfh	肸
ewgg	脸
ewgj	腧
ewn	肌
ewsy	貅
ewwf	脞
exjg	脂
exdu	奚
exdk	谿
exkj	膙
eyrb	脑
eyjh	脐
eylg	膻
eyni	脉
eynw	胲
eyt	肪
eyuy	膀
eywr	胶
eywn	肮
eywy	腋
eyxy	臃
fbn	地
fakg	域 墐
fadn	堪
fade	墈
faet	霰
fafg	坩
faj	卉
fajv	堰
fake	霸
famu	贲
fans	堞
fape	𫭼
fary	𫭟
fawk	塔
fbh	邗
fbyy	圾
fcu	去 支 云
fcaj	弆
fcbh	却 𨙸
fccc	㙍
fcdm	𫠆
fcet	动 劫
fcec	叆
fceh	埇
fclf	盍
fcnd	翅
fcpi	运
fcrc	魂
fctd	埃
fcvp	叇
fdny	城
fder	雳
fdet	坜
fdfe	震
fdff	堐
fdfn	垮
fdhy	坏
fdhg	坯
fdjn	埯
fdmj	需
fdmd	堧
fdmm	颥
fdmy	顸
fdpy	垯
fdri	塬
fdsk	埼
fdwj	堾
fewy	协
febg	垺
feeg	堋
fefy	埒
fegg	坥
fejf	霾
feqb	霓
ffff	土 垚 堼
ffbh	邽 邿
ffcy	坛
fff	圭
fffy	封
ffhw	填
ffhg	埴
ffhy	卦
ffiw	款
ffjn	墘
ffnu	恚
ffnb	雩 鄠
ffnn	圬
fftj	堵
ffu	寺
ffuk	墙
ffwt	堎
fgg	二
fgbn	坉
fgcf	垤
fgef	博
fgey	埔
fgfh	圩
fggh	干
fgh	十
fghg	士
fgho	墕
fghy	雨 寸
fgjg	垣
fgjr	埂
fgkh	塥
fgog	垭
fguf	坪
fhnv	起
fhag	墟
fhbc	趣
fhcy	坡
fhdd	霏
fheg	趄
fhf	直
fhfh	矗
fhfk	赶
fhg	址
fhgj	趔
fhgy	越
fhhi	赴
fhht	埗
fhik	趟
fhkg	坫
fhlf	盐
fhny	武 趯
fhng	鹉
fhnh	赳
fhnt	垆
fhqv	趋
fhri	赵
fhtm	趱
fhu	走
fhuw	趑
fhvk	超
fhwu	真
fhwe	趁
fhwm	颠
fiu	示
fief	霄 霪
figh	霈
figq	垙
fii	未
fimk	埫
fitf	釐
fiti	漦
fitv	嫠
fivg	垱
fivs	墚
fjpk	进
fjfe	朝
fjfa	戟
fjff	斡
fjfg	埋
fjfh	韩 垾
fjfn	乾 翰
fjfy	埘
fjgg	坦
fjgh	堤
fjh	刊
fjhh	坤
fjj	亓
fjk	井
fjlc	墁
fjng	塌
fjqr	埸
fjqn	堨
fkuk	喜 嘉 嚭
fkdm	颉
fkeu	袁
fket	劼
fkf	吉
fkfk	喆
fkgg	埕
fkh	圳
fkhk	露
fkkb	酃
fkmw	埚
fkmy	埙
fkuc	鼓
fkue	彭
fkuf	鼙
fkuh	瞽
fkun	憙
fkuo	熹
fkuy	甏
fkxy	哉
flxy	载
flay	戴
fldg	堌
flf	雷
flgh	堽
flyt	塄
fmuf	南
fmgk	垌
fmkg	坰
fmnn	垲
fmuy	献
fmy	坝
fmyg	坍
fnu	志
fnff	霨
fnhc	霞
fnhe	韬
fnhk	韦
fnhl	韫
fnhp	违
fnhy	韧 韨
fnig	墀
fnkf	霹
fnn	圯 圮
fnr	声
fnrt	场
fnud	卖
fnuq	觌
fnv	亏
fnwy	块
fnwd	磬
fnwe	𪤗
fnwj	馨
fnwm	罄
fnxn	坭
fnyi	专
fou	赤
fobh	郝
fobc	赧
foch	垿
fofo	赫
fofj	赭
fogw	墣
fohm	赪
fot	圹
fotj	螫
foty	赦
fovk	塘
fovg	𪣻
fovh	墉
fovi	𡐓
fpi	过
fpbe	勃
fpbf	孛
fpbg	鹁
fpfq	垸
fpgu	壹
fpgc	彀 觳 榖 縠
fpgg	壸
fpgn	懿
fplc	毂
fplh	疐
fpog	壶
fpta	垞
fpvg	垵
fpwb	壳
fpwa	埪
fpwn	悫
fpxi	索
fpxn	坨
fqv	无
fqay	坻
fqb	元
fqdm	顽
fqeh	埆
fqkn	鼋
fqky	堍
fqnb	雹
fqng	坞
fqpv	远
fqug	均
fquq	鋆
fqwy	坎
frgk	垢
frcy	坂 坬
frh	圻
frtf	埤
fryy	坼
fshf	霜
fsfg	堙
fsh	圢
fshg	鹴
fskg	坷
fssu	霖
fsvg	㙘
fsxy	栽
fte	才
ftah	鿍
ftan	圫
ftbt	教
ftbf	孝
fter	雾
ftfp	霆
ftfg	埵
ftfh	圲
ftgn	考
fthg	垍
fthn	鼒
fthp	埏
ftjf	者
ftjb	都
ftjn	翥
ftjo	煮
ftkg	垎
ftmk	垧
ftnn	圪
ftol	墦
ftqk	耇
ftxb	老
ftxf	耋
ftxj	耆
ftxn	耄
ftxu	霉
fulj	增
fueu	丧
fufj	幸
fug	垃
fugh	垟
fugk	墡
fujq	境
fukg	培
fulh	𫮃
fulk	啬
fuvf	霎
fvf	雪
fvey	垠
fvgh	垏
fviy	埭
fvph	埽
fwi	夫
fwdc	塅
fwfj	替
fwfl	辇
fwfp	逵
fwmq	规
fwmh	鬶
fwnf	埠
fwnd	堠
fwsy	垛
fwvt	坋
fwwm	赍
fwxn	𫭢
fwyc	零 坽
fwyf	霍
fwyg	堆
fwyn	埝
fwyy	截
fxyl	盏
fxdf	毐
fxet	坳
fxyi	戋
fxyj	刬
fyey	裁
fyce	堉
fyf	霅
fyjn	霭
fyjj	霁
fyke	壤 壕
fykt	墩
fyna	𡎚
fynw	垓
fyox	塆
fyr	雱
fyrb	垴
fyt	坊
fyu	雯
fyuk	墒
fyuy	塝
fyve	埌
fywn	坑
fyy	坟
ggll	一
gak	开
gabh	邢
gadw	琪
gaet	形
gag	玒
gagw	𫞩
gahb	琊
gaht	玡
gaj	弄
gajf	型
gajh	刑
gakg	瑾
gaky	瓘
gamd	瑛
gamw	璜
gaqt	璥
gawy	珙
gbj	击
gbg	珥
gbnm	顿
gbnb	邨
gbnv	屯
gcfj	到
gcff	至
gcfb	郅
gcft	致 臻
gcgg	玛
gdi	天
gdeg	瑚 珛
gdhy	环
gdhh	玤
gdju	蚕
gdkf	吞
gdmy	顼
gdnu	忝
gdny	珹
gdsk	琦
gdwg	琫
gdwj	瑃
gdwt	瑧
gdxy	珑
geu	表
gebg	琈
geee	珕
gef	青
gefm	豮
gegc	瑗
geg	玥
gegg	珇
gego	燹
gehy	甫
gehg	𬷕
gehp	逋
geht	敷
gei	豕
gekg	珈
gemq	靓
gepi	逐
gepc	瑷
geph	靛
geqh	静
geqg	䴖
germ	瑶
gerh	豨
gfk	于
gfbh	邘
gfcy	珐
gfdj	瓀
gffg	珪
gffn	㻬
gfh	玕
gfhw	瑱
gfhy	珷
gfjp	琎
gflf	盂
gfmy	𤩽
gfnh	玮
gfpk	迂
gfqn	玩
gfwy	玞
gghg	五
ggcb	琶
ggey	琢
gggg	王
gggt	璱
ggiy	球
ggkg	珸
ggli	瑓
ggnt	瑟
ggng	玙
ggoj	瑨
ggqt	璈
gguf	玶
ggwn	琴
ggxx	琵
ggyy	珏
ghi	下
ghaw	琥
ghae	璩
ghcy	玻
ghd	正
ghdd	琲
ghgo	焉
ghgb	鄢
ghgc	琡
ghkg	玷
ghnv	丐
ghnn	丏
ghnu	忑
ghqo	璨
ghty	政
ghxn	玼
giyi	求
gigq	珖
gimy	琐
givg	珰
giyt	救
giye	裘
giyp	逑
gjfg	理
gjgf	亘
gjgh	瑅
gjhn	惠
gjhg	瑁
gjhh	珅
gjri	更
gjrg	甦
gjtg	瑆
gjxx	琨
gjyi	璟
gkvh	事
gkbh	郚
gkeg	琄
gkf	吾
gkgg	珵
gkhe	囊
gkhj	蠹
gkhk	璐
gkhs	橐
gkih	整
gkii	束
gkij	剌
gkim	赖
gkip	速
gkit	敕
gkk	卅
gkkk	噩
gkks	璪
gklj	副
gklp	逼
gkmj	融
gkmg	鹝
gkmh	鬲
gkmn	翮
gkmt	鬷
gkph	带
gkri	吏
gkty	敔
gkuf	豆
gkua	豇
gkub	豌
gkuc	豉
gkuj	剅
gkup	逗
glbj	画
glii	柬
glpy	琏
gmqn	现
gmap	遭
gmaj	曹
gmdj	瑞
gmet	𪟝
gmfd	再
gmhg	䴓
gmij	刺
gmii	棘
gmiu	枣
gmiw	僰
gmmg	珊
gmmv	璎
gmu	责
gmww	两
gmwb	邴
gmwi	丙
gmwy	璀
gmyy	丽
gmyb	郦
gmyg	鹂
gmyp	逦
gngd	与
gnan	珉
gndg	琚
gng	珝
gngw	欤
gnhc	瑕
gnhg	瑂
gnny	瓦
gnn	玘
gnrt	玚
gntt	珌
gnwe	璆
gnwy	玦
goi	来 灭
godr	严
godn	慭
gogd	亚
goga	戬
gogb	鄑
gogf	垩
gogj	晋
gogn	恶
gogw	璞
gomu	赉
gooy	琰
goqh	璘
govk	瑭
gpws	琛
gpfi	琮
gpgg	瑄
gpgh	琔
gphn	琯
gplh	珲
gpqb	琬
gpwk	瑢
gqe	万
gqag	殣
gqbg	殛
gqck	殆
gqeb	殍
gqeg	殂
gqet	劢
gqfy	残
gqfh	殖
gqfu	殪
gqfw	麸
gqi	歹
gqiy	珧
gqjh	列
