aaaa	工 㠭
agbn	芚
agcf	荎 㦶
agcj	菿
agd	匡
agdn	菾
agef	菁
ageg	蕤
agej	藸
agep	蓫
aget	劻
agfj	芋
aggn	䔷
agho	蔫
aghg	廿 龷
aghh	艹 卄
aghu	芐
agiy	莍
agjn	蕙
agjf	蓴
agjg	荁
agjr	莄
agkf	䓊
agkg	菫
agkh	蒚
agkk	蘁
agkl	葍
agkm	䕱
agko	虉
agku	荳
aglg	薑
agmh	芾 䒥
agmj	蓸
agmm	颟
agmu	蔶
agmw	苪 黃 㔷
agmx	䕻
agmy	䓣
agnb	䒓
agno	䲾
agnv	㚽
agqa	葬
agqf	塟
agqg	薤
agqj	茢
agqr	薚
agqt	蔜
agqv	薞
agsu	茉
agth	廾
agu	芙
agua	䔊
agud	荚
aguf	苹
agus	莱
agvv	萋
agva	莖
agve	葝
agvh	萐
agwg	蕐
agwr	薾
agxw	荑
agxu	䓯
agyi	匤 弌
ahte	牙
ahty	雅
ahaj	萛
ahdd	菲 匪
ahdg	韮
ahdh	薉
ahdi	繤
ahdj	㔈
ahdn	蕜
ahds	䕁
aheg	蔖
ahf	芷 苜 䒙
ahgp	蘧
ahhh	蕋
ahhm	蘋
ahhr	荹
ahhs	蘃
ahhy	匷
ahic	菽
ahiu	茮
ahjj	䓬
ahkm	颐 赜 賾 頤
ahkf	苫
ahkn	巸
ahko	熙
ahkv	媐
ahky	㼢
ahll	蘆
ahln	藘
ahlo	蓾
ahnh	臣 卧 䁂
ahnb	孯 䢻
ahnc	臤
ahnd	硻
ahne	腎 㲯
ahnf	堅
ahng	朢 㹂 䑑
ahni	緊 䑐 䵖
ahnj	蜸 㔋
ahnk	臨
ahnl	監 盬 鹽
ahnm	賢 贒 頣
ahnn	薡
ahno	煕 㷂
ahnq	覧 覽 鋻 鍳 鑒
ahnr	掔 擥
ahns	㯺
ahnu	竪 豎 䜿 䝂
ahnv	婜 䭆
ahnw	臥 䖙
ahny	譼 㻨 㽉 䛗
ahou	蔝
ahqb	莧
ahqo	薒
ahqy	萈
ahtb	邪
ahtg	鸦
ahtm	䪵
ahto	鴉
ahtp	迓
ahtv	㸧
ahwb	萀
ahwd	藈
ahxb	茈
ahxi	䔝
ahxs	䓱
ahyi	㸦
aii	东
aitk	落
aiaf	茳
aiaa	䔐
aial	蘫
aian	菃
aias	蕖
aiaw	葓
aibb	范
aibu	菠
aibv	蔢
aick	菭
aieg	菹
aief	莦
aiej	萷
aift	蔆
aigf	萍
aiga	䓑
aige	蔳
aigq	茪
aihc	蔋
aiit	莎
aiiv	䓾
aijc	䕕
aijf	䓠
aijl	蕰 蘯
aijn	䔽
aijr	蕩
aijy	蕅
aiks	藻
ailf	䕪
aill	薀
ainr	荡
aipq	莐
aiqg	鸫
aiqa	䓋
aiqn	萢
aiqy	䓜
aire	蒎
airf	萡
airj	䓅
aisu	蒲 莯
aisf	薄
aisi	薸
aisj	藫
aisk	菏
aitu	蔽
aitd	萿
aitl	藩
aitr	䒚
aits	䓷
aitx	虌
aiu	汞 䒕
aiua	蓱
aivc	蓡 薓
aivg	葏
aivk	菬
aivs	蒅 薻
aiwc	莈
aiwg	虃
aiwj	蕍
aiws	蒤
aiwu	蒞
aiwy	匯
aiyn	茫
aiyk	蓅 薃
aiyv	蒗
ajh	划 㓚
ajj	草
ajag	蓽
ajbc	蕞
ajby	皵
ajdu	莫
ajdb	鄚
ajde	募
ajdf	墓
ajdg	蓦
ajdh	幕
ajdj	暮 蟇
ajdn	慕
ajdo	驀
ajdq	㱳
ajdr	摹
ajdy	謩
ajef	萌
ajf	昔 䒤
ajff	荲 蒔
ajfj	䓍
ajfu	莳
ajgl	䕎
ajhf	萺
ajjf	菖
ajjh	剒
ajjj	蕌
ajlc	蔓
ajlf	蒀
ajme	勱
ajmh	躉
ajmj	蠆 䘍
ajmn	䖁
ajmp	邁
ajmy	萬
ajnt	䒶
ajpd	逪
ajqn	葛
ajqg	鹊
ajqo	鵲
ajqr	䓪
ajrh	斮
ajru	茰
ajsu	菒 菓
ajtl	蓝
ajtf	葃
ajtg	虄
ajty	㪚
aju	茧
ajvb	郾
ajvd	匽
ajvo	鶠
ajvw	㰽
ajwy	䧿
ajxx	菎
akgd	或 戜 茣
akgn	惑 懃 戁
akbf	葺
akby	蕺
akcb	䓃
akd	叵 戓
akej	莂
akfu	菋
akfy	尀
akge	勤
akgb	鄞
akgc	䰥
akgf	堇
akgi	㳼
akgk	囏
akgo	㸐
akgq	觐 覲
akgr	彧 斳
akgt	㝻
akgu	㠬
akgv	艱
akgw	歎 歏 臡 㰲
akgx	㔮
akgy	難
akhm	匮 蒉 匱 蕢
akhj	䕽
akhk	蕗
akhu	莡
akkm	颧 顴
akkb	鄿 酄 䕤
akkc	敺 毆
akke	勸
akkf	莒 匰 蕇
akkg	鹳
akkj	剾 飌
akkk	區 虈 䓵 䖀
akkn	萼 蕚
akko	鷗 鸛
akkq	觀
akkr	蘄
akkt	䕾
akkw	歐 歡
akky	甌 雚
akmw	莴
akmu	蒷
akuo	燕 鷰 㷼 䴏
akub	酀
akuj	㬫
akuv	嬊
akwn	荶
akwy	蓶
alf	苗
alpu	莲 蓮
alaw	蔑 㔴 䔬
alag	蔮
albi	蘻
alcx	藣
aldu	茵
aldf	䓢
aldj	蘮
aldn	蒽
aler	莮
alfj	薯 蓒
alfe	薗
alff	䕉
alfk	䕸
alge	葨
alj	莗
alk	匣
alkf	茴
allf	蘲
alli	虆
alll	藟
alls	蘽
almu	蕒
alnu	葸
alpa	薎
alpb	鄸
alpc	蘉 䒐
alph	瞢 䠢
alpm	顭
alpq	夢
alpx	薨
alpy	甍
alqu	萝
alqg	鹋
alqj	薥
alqo	鶓
alrj	蔪
altu	菌
alub	蔨
alvv	匦 匭
alvf	蔞
alvt	藪
alwl	蒕
alwm	莔
alwu	苬
alxi	蔂
alxy	蘿
alyj	藅
amu	贡 貢
amwu	黄 芮
amae	蕽
amaf	䒼
amaw	䓦
amdu	英 蘴
amdb	䣐
amde	㲟
amdo	鶧
amdq	䚆
amef	蓇
amer	䕧
amff	苒 冓 斠 䒣
amf	苖
amfk	䓟
amfm	顜
amfp	遘
amfq	觏 覯
amgk	茼
amgu	䔇
amhk	匝 萜
amhj	繭 芇
amhm	顢
amhy	㒼
amjj	荝 萴
amkf	苘
ammv	蘡
amnb	䒻
amnk	萵
amnp	薖
amnu	慐
amqb	苋
amrr	䒽
amun	菵
amwb	䵍
amwe	䵋 䵏
amwf	斢 黊 䵐
amwg	黈
amwj	䵎
amwk	黇
amwn	黅
amwo	鷬
amwq	黆
amww	䵌
amwx	萞
amyf	䒟
anb	艺 芑
anv	世 戉
anab	苠
anbh	䢹
anbm	䓛
and	巨
aneb	荱
anff	蔚
anf	苢
anfj	㓸 䒖
anfn	藯
anfr	斲
anfu	䒭
angf	䒒
anhk	蔬
anhc	葭
anhf	葿
anhm	䔫
anhp	蕸
anht	荍
anjj	螶
anku	薜
ankg	葦
anks	蘗
anmu	贳 貰
anme	勚 勩
annn	蕊
annb	乬 巪
anns	蘂
annw	㔵
anpv	迣
anqw	㰥
ansp	䢡
ansu	枼
antr	苾
anu	芯
anud	荬
anwe	蓼
anwu	芵
anwy	藋
anxb	苨
anyi	忒
anye	蘹
anyf	䕜
anyu	荩
anyw	苡
aosd	蘑 蘼
aoao	蔗
aoah	蓆
aodm	薠 蘱
aodn	蓭
aoec	蕿
aogo	薦
aojf	蔊
aoog	䑞
aooo	藀
aoou	菼
aopu	蒾
aoqy	菧 䓎
aorc	䕇
aosi	䕷
aosr	藦
aoss	蔴
aotl	䕰
aou	炗 苂
aouc	䕺
aouf	薱
aouw	薕
aovf	蒌
aovk	蓎
aovt	薮
aovw	菮
aowc	䕠
aowf	蓙
aoxf	薼
aoxo	藨 蘪
aoxx	蔍
aoyi	䕲
apu	芝
apfe	蒙 氋
apar	藆
apbf	茡
apdf	菪
apdi	藔
apdn	藼
aper	劳
apef	䒿
apeg	萓
apeo	藛
apfc	蔻
apff	茔 蒄
apfg	鹲
apfi	萗
apfo	鸏
apfq	莞
apft	蔲
apfv	䓻
apgy	莹
apgf	苎 荢
apgg	萱
apgh	萣
apgl	䔰
apgm	薲
apgw	蔩
apiu	荥
apju	萤 蓂
apkk	营
aplj	荤 葷
apnf	菅 茕
apne	䔭
apnj	藌
apnm	蔤
apns	薴
apou	荧
apqg	莺
apqb	菀 䒞
apqf	蓥
apqy	蒬
apsu	荣
apsg	蒏
apsj	苧
aptg	荦
aptb	䓨
apuj	䔂
apun	䕣
apvf	荌
apvy	䒯
apwk	蓉
apwd	葖
apwe	䓖
apwi	䕓
apwj	蓿
apwu	茓
apwx	藭
apwy	蒮 䒮
apxi	萦
apyg	䔃
apyl	䕐
apyu	䔗
aqv	匹 兂 旡
aqkt	敬
aqab	芪 䣟
aqah	鬵
aqaj	朁 蠶 㔆
aqam	䫬
aqaq	兓
aqay	茋
aqbb	苑
aqbj	茒 䒢
aqbn	葾
aqbt	蒭
aqcu	芶
aqdo	䔳
aqdy	薝
aqef	萏 蔛
aqeg	薢
aqej	葪
aqf	菳
aqgj	蓟 荈
aqgb	茚
aqgf	茑
aqgl	蔔
aqgu	藓
aqhi	㔰
aqjf	荀
aqky	警 菟
aqka	㢣
aqke	葂
aqkf	苟 茗
aqkj	蟼
aqkn	憼
aqko	驚
aqkq	莬
aqkr	擎
aqks	檠
aqlf	䓒
aqmt	藑
aqmu	萯
aqnb	苞
aqnu	㤅
aqou	菊 炁 蔦 蘚 䔡
aqoj	薊
aqot	蘇
aqoy	䲨
aqph	帶 䠠
aqpn	慸
aqpp	遰
aqqo	鴄
aqqu	茤
aqqy	䔙
aqrn	葱 䓤
aqre	匢
aqrj	匫
aqrr	芴
aqry	茐
aqsu	葡
aqtb	萄 茆
aqtd	获
aqtf	䔆
aqtg	莥 蕕
aqtj	蕏
aqto	荻
aqtr	䓄
aqty	莸
aqu	芕
aqwu	芡
aqwv	蕵
aqyu	芍
aqyi	匛
aqyj	藰
aqyl	蒥
ari	区
aru	艾
arb	芞
arbt	葼
arcb	葩
arcg	萚
arcy	苽 蓏
ardy	菝
ardf	䔌
ardh	莃
ardj	䔤
areo	蘤
arf	苩 茊
argy	瓯
argf	葟
argh	蓵
argk	茩
argu	荴
arht	䕫
arhw	㔸
aris	薬
arit	莏
ariu	葲
arj	芹
arjh	䔶
arjj	苅
arjn	䔾
ark	匠
arkb	䔱
arlf	蘀
armf	菗
arpu	菦
arqw	欧
arqc	蒐
arqg	鸥
arqn	菢
arqo	鴎 鴱
arqq	蔸
arqy	菂
arrj	䓆
arrr	藠
arru	䒝
arsc	蔱
arsj	䓭
arsu	蒱
artf	萆
artd	葀
aruf	菈
arvc	蒑
arvk	萔
arwc	殴
arwy	蓷
arxs	藥
aryt	薂
asu	莆 㭉
asf	茜
asak	藲
asdi	䕩
asfc	䓩
asff	荰 蓕 䓰
asfi	蔈
asfu	蒪
asfy	薽 䕯
asgf	苯 莤
asgd	䔯
asge	䖆
asgn	蓜
asgo	蘸
ashf	葙
asie	䔠
asjj	蕈
asj	艼
asjf	菄
askf	苛 莕
askj	䓶
askk	䔅
askm	藾
askp	藗 䔎
askt	䔩
askw	蔌
aslf	萰
asmb	茦
asmj	莿
asmm	蕀
asmt	蓛
aspq	萙
asrj	菥
assu	菻 䔁
aste	䖇
astx	䔦
asvf	葽
aswc	菘
aswj	䕆
aswo	藮
asww	萊
asyp	蒁
aty	攻
atgf	董 苼
atay	苌
atbr	莠
atdi	医 繄
atdc	殹
atdd	䃜
atde	㬾
atdf	㙠 䒷
atdg	醫 鹥
atdh	瞖 莑
atdj	荞 䗟
atdk	蕎 㗨 䓡
atdm	贀
atdn	翳 悘
atdo	鷖 黳
atdp	蓬
atdu	芺 䒨
atdv	嫛
atdw	毉
atdy	瑿 薙
atef	䕝
ateg	蒩 䓚
atfj	芊
atfa	菙
atfg	䔘
atfh	蓗
atfp	莛 䔏
atft	薐
atfu	茱
atfw	蒛
atfx	䓙
atge	蘍
atgj	䒜
atgn	翘
atgo	薰 蕪 薫
atgq	尧
atgs	荇
atgu	苵
athh	蓰
atha	匴
athc	葮
athf	苲
athj	䕗
athk	䓘
athn	蒠
athp	莚
atie	蕱
atis	葕
atjj	莉
atjf	萫
atjg	䔣
atjn	藒
atjs	䔧
atkd	㦴
atkf	茖 萂
atky	莵 萭
atlx	蓖
atlf	䒸
atln	蔥
atmt	薇 藢
atmd	薁
atnu	薛
atnb	孽 䒗
atnh	蒒 蘬 躠
atno	糵
atns	蘖
atnv	㔑 㜸
atol	蕃
atou	萩
atpu	䒦
atqs	蘅 蔾 䕔
atqi	藜
atqn	蘒
atqo	蘓
atqq	䔟
atqt	菞
atry	莪
atrf	薭
attb	蓹
atti	蘌
attt	蕧
attu	䔉
attx	蘒
atu	䒘 䒩
atuc	蒰
atuf	苸 萪
atut	蕛
atuu	苳
atvf	萎
atvc	蘶
atvg	葎
atvu	䓳
atvy	萟
atwc	䓈
atwh	蓯
atwm	蘈
atwo	䕴
atws	蒣
atwy	䕌
atxu	莓
atxi	蘩
atya	藊
auqf	蒋 蔣
auah	臧
auaf	蒫
auaj	荓
auas	䕈
aube	蒴
auce	蓘
aucq	萒
auec	藙
aued	蘢
auef	蕑
auej	葥
auf	苙 菛
aufd	匨
auff	荘 莊
aufk	蘠
auft	蓤
augb	菤
augd	䓺
augo	蓔
augv	葁
augy	䕏
auj	莘
aujf	萻 蕫 蕳
aujj	蔁
aujm	㔶
aujn	薏
aujq	䔔
aujr	蕲
aukf	菩 蔄
aukb	蔀
auke	蔉
aukk	䕡
aukq	莌
aunu	蕄
auqw	茨
auqk	蒟
auqm	薋
auru	茭
aurc	藱
ausr	薪
ausf	䔿
ausl	蘭
ausq	藽
ausu	䔵
autd	蒺
autt	虁
auvw	蒹
auvf	菨 蔅
auwy	蔺 藺
auxb	苝
auyv	䕞
avt	切 㓛
avhw	萧
avaf	蕁
avaq	蔇
avb	艽
avbf	䒵
avbj	莭
avdf	菇 薅
avdy	䓼
avec	䕅
avfu	荨
avfj	蕭
avgj	茟
avgl	葘
avhl	藎
aviu	菉
avkf	茹 苕
avki	蕠
avkr	蒘
avlf	菑
avoj	䔥
avph	菷
avr	芀
avta	䒲
avtk	莙
avto	蔒
avtr	芛
avu	茛
avvf	䓸
avvv	茘 葌
avyu	芄
avye	袃
avyh	䔼
avyn	荵
awu	共 䒔
awxb	花 芲
awau	茷
away	䒫
awbb	苍
awb	芁
awbh	䢼
awbr	芿
awbx	㗡
awcn	蓊 䓗
awct	葰
awcu	芟
awdu	茯
awfi	蔡
awfc	荟
awff	茌 芢
awfu	苻
awgd	葵
awga	菕 葊 蘥
awge	蒨
awgf	荃 䔑
awgg	莶
awgj	剳 匬 萮 薈
awgk	匼 荅
awgo	鷋
awgs	荼
awgt	蔹 蘞
awgu	巬 䔲
awgw	匳 薟 蘝
awht	莜
awhe	蓚 蓨
awhs	蓧
awi	戍
awiu	苶 㳟
awjj	芥
awju	蛬
awks	葆
awkc	䢽
awkd	㔯
awke	藵
awkh	茽
awlj	輂
awmj	苮
awnb	巷
awnd	葔
awnu	恭
awqo	䳍
awrj	拲
awsu	茶 茠 㭟 䒳
awsk	荷
awtf	荏 莋
awtj	葻
awtv	䔀
awuf	莅
awuk	蓓
awuq	䓲
awvr	芬
awvc	葠
awvl	葐
awvs	棻
awvv	㔲
awvw	㔳
awwi	巫
awwf	莝
awwg	葅 鹀
awwn	䔢
awwo	鵐
awwp	遳
awwq	觋 覡
awwr	䕥
awwt	蓌
awwu	苁
awxc	蕟
awxx	蒊
awyn	恐 芩 菍
awyb	聓
awyc	苓 蒦
awyd	䂬
awye	舊
awyf	萑 鞏
awyg	㠫
awyh	跫
awyj	蛩 劐
awyk	莟 蒼
awyl	䡗
awym	䕘
awyo	蕉 䊄
awyq	銎
awyr	㧬
awyt	䅃
awyu	芃
awyv	䓹
awyy	巩 㼦
axqy	药 葯
axjl	蕴 藴
axaf	荭 葒
axay	虇
axb	芎
axbf	葞
axcu	苰
axdm	䔛
axec	藧
axer	苭
axeu	蒃
axev	䕑
axfu	荮 葤
axfm	蘏
axgn	莼 蒓
axgg	䕬
axgr	䕳
axhj	䒡
axht	苐
axit	䔋
axiu	䒺
axjc	蘰
axjj	茀
axkj	蔃
axll	蘊
axmw	蒳
axnb	䒛
axqc	蕝
axtr	芗
axtb	薌
axth	薿
axtm	蘔
axtp	蘕
axtu	蔠
axty	䔨
axu	苺
axuu	蒻
axwv	蒶
axxb	芘
axxf	荜
axxi	蕬
axxr	蒈
axxu	茲
ayr	芳
aynk	荒
aybt	䔻
aycq	茺
aydw	䕛
ayec	蘐
ayek	䕍
ayeu	䒾
ayey	䕦
ayf	䓂
ayfj	藷
ayhu	苄
ayhg	虀
ayi	弋
ayjn	蔼 藹
ayjf	萕 薺
ayjj	荠
ayke	蓑 蘘
aylg	䕊
aymk	蒿
ayms	藁
aymt	藳
aymu	貣
aymw	藃
aynr	芦
ayna	匾 萹
aynb	芒 䓽
aync	蔰
aynd	䓞
ayne	菺
aynn	莣
aynw	荄
ayny	㼹
ayps	葶
aypx	薧
ayqg	鸢
ayqo	鳶
ayrc	蓠
ayry	蘺
aytd	蔟
aytb	葹
aytf	䔓
ayth	蔙
ayto	蒍
ayuh	蒂
ayu	芠
ayud	蔐
ayuk	蔏
ayup	藡
ayuy	蒡
ayvu	莨
ayvb	蓈
ayve	蓢
aywf	萃
aywb	苀
aywc	蔎 䕶
aywu	菸
aywv	匟 䬥
aywy	隿 䕹
ayxl	蓄
ayxf	䔞
ayxr	䖂
ayxs	虊
ayxy	蕹
bnh	了 阝 凵 卩
bbbb	子
baiy	陈
baay	䧖
badw	陿
bajv	隁
bakg	聝 䧕
bakk	䧢
bawy	䧆
bay	聀
bbf	孕
bbbf	孨 聶
bbbj	孴
bbbm	顳
bbbw	㱌
bbcy	陬
bbg	孖 聑 䦻
bbh	耶
bbhj	䧝
bbmh	聉
bbn	阤
bby	陂
bcy	取
bciu	聚
bcag	陉
bcbh	郰
bccu	聂
bccm	颞
bcff	埾
bci	夃
bcib	鄹
bcij	㔌
bckg	孡
bclf	盈
bcla	戤
bcn	㿬
bcnh	㜿 䦽
bcou	焣 㷅
bcoy	䧞
bcqn	阭
bcsu	棸
bcvf	娶
bcwt	陖
bdii	承
bdep	随
bdae	隋
bdaa	隓
bdaf	墮
bdam	嶞
bdan	隳
bdap	隨 䢫
bdas	㯐
bday	䜐
bdbn	阨
bdcy	耾 䧀
bdef	堕
bdeg	陏
bdf	呄
bdfe	陙
bdfn	陓
bdgv	隇
bdhy	阫
bdjg	陌
bdmy	颇 頗
bdmd	陾 㿵
bdmj	聏 陑
bdsk	陭
bdtf	陦
bdty	陝
bdww	聗 陜
bdxy	陇
beg	阴 䎳
begg	阻
beag	隉
bean	隱
beas	檃 櫽
beeg	䧟
behc	䏂
ben	毦
beqn	聣
bet	阞
beto	䧦
bevg	䧌
bevn	隠
bfiy	际
bfwt	陵
bfam	隫
bfcy	耺 阹
bfdj	孺 隭
bffq	隢
bfhy	陡
bfh	皯 䦹
bfjh	阱 䎴
bfkg	聐
bfkk	㝆
bfln	聴
bfnf	隯
bfqn	阮
bftj	陼
bfup	㿹
bfwf	陸
bgd	卫 孒
bgbh	陆
bgay	陚
bgeg	聙
bgfg	孲
bgfn	聽
bghg	耳 聇 阷
bgjf	䧠
bgjn	䧥
bgkh	隔
bgkg	䎸
bgmn	陋
bgmj	䏆
bgmw	陃
bgqn	阢
bgqt	隞
bgsu	㭆
bgud	陕
bgva	陘
bgwr	隬
bgxw	䧅
bhg	耻 阯
bhgj	蚩 旹
bhbh	芔
bhdd	陫
bhga	隵
bhgd	㞢
bhgf	㞷
bhgv	妛
bhht	陟
bhhg	骘
bhho	騭
bhk	屮
bhkg	阽
bhnn	鼐
bhqn	䧋
bhwn	䖎
bhwv	㞣
biy	孙 阥
bibk	函
bibm	顄
bieg	陗
bigf	丞
bigb	卺
bige	脀
bign	巹
bigo	烝
bii	氶
biji	隙
bimj	㞼
bipi	逊
bipf	隚
bito	隲
biu	尕
bjg	阳
bjmy	隅
bjfg	陧 䧉
bjgh	隄
bjgr	陽
bjh	刵 㓟
bjhh	䎶
bjlc	㿸
bjxo	隰 䏉
bkwy	职
bkcg	亟
bkcb	凾
bkco	焏
bkeg	䧎
bkf	叾
bkgf	聖
bkhm	聩 聵 隤
bkhh	䦿
bkmy	陨 隕
blh	阵 陣
blf	孟 盁
blet	勐
blff	塦
blge	隈
blg	䧃
bmk	出
bmgn	聘
bmbh	䢺
bmdm	䪼
bmet	㔘
bmfi	祟
bmfg	聃 耼
bmfk	䎻 䧓
bmfn	㞊 䄐
bmfo	䳳
bmfw	㱁
bmgu	隑
bmhw	䖓
bmmv	孾
bmou	粜
bmoy	糶
bmqw	欪
bmwn	䧙
bmy	孭
bnhn	也
bnty	皮
bnbt	䧩
bnfh	阠
bnhg	孑
bnku	隦
bnn	孔 巜 耴 ⺋ 㔾 䎲
bnt	乃
bntt	䎵
bnu	孞
bnwy	䦼
bny	恥
boy	耿 阦
bodv	䧪
boou	㷦
boqg	隣 隣
bouf	䧨
boug	䧤
bovh	䧡
bovk	䧜
boye	褧
bpk	辽
bpfq	院
bpd	䢊
bpdn	䧮
bpe	辸
bpfi	孮
bpgh	聢 䧑
bpgm	䧬
bpju	䏃
bplh	皹
bpns	聹
bpqn	耽
bpsh	聍
