aaa	工
abuf	茁壮
abug	薩
abuj	蘵
abuk	䔒
abuy	荫凉
abv	匜
abvi	节录
abwc	蔭
abwd	䕃
abwh	欧阳修
abwn	节假
abwp	节令
abws	节余 蒢
abww	节俭
abwy	节食 蒸食
abxq	节约
abyu	芨
abyb	蒸熟
abyc	节育
abyd	巧取豪夺
abye	节哀
acb	芭
acjt	茅 䓮
acaf	茎 芭蕾
acag	鞍马劳顿
acaj	茅草 䒪
acak	匥
acal	戒骄戒躁
acaq	苔藓
acaw	芭蕉
acce	蔘
acck	茅台
acdm	茅厕
acdr	苔原
acep	蓪
acew	功参造化
acfy	茅坑
acgd	㦯
acgk	菜鸡互啄
acgt	戎马一生
acis	七台河
acje	蓩
acjj	芧
acjm	蓣 蕷
acjo	鶜
acjs	葇
ackf	苔
ackp	䕂
acks	葈
ackw	雅马哈
aclf	䓿
acmm	茅山
acng	茅屋
acou	䔍
acoy	茅庐
acpr	勤能补拙
acrf	茅盾
acse	茅棚
acsf	茎杆
acur	节能减排
acus	匹马单枪
acwf	茅舍
acwt	荾
acww	戎马倥偬
acxx	芭比
acyn	茅房
acyu	芆
adf	苦
adkn	惹
adaj	莽 藏蓝
adaa	藏匿 苦工
adac	䒎
adad	苦苦 劳斯莱斯 莽莽
adae	苦功
adag	葳蕤
adah	藏龙卧虎 蔵
adaq	茏葱
adar	藏区
adaw	藕荷 蕻
aday	葫芦
adbb	苊 茬子
adcy	茇
adce	若能 苦劝
adcn	戎马
adcu	苃
adcw	苦难
add	弎
addb	蔫耷耷
addd	藞 䔸
addn	茂盛
addr	莽原
adds	蒙太奇
ade	戎
adef	葫 䒴
adej	藏独 苦胆
adel	若有
aden	巧克力 苦力
ader	苈
adeu	萇
adff	蓐 英雄无用武之地
adfa	劳而无功 莾
adfd	若需
adfe	莀 䔚
adfg	若干
adfi	萘
adfm	藏南
adfn	荂
adfp	敬而远之
adfq	若无
adft	攻其无备
adfw	若夫 莽夫
adgv	葳
adga	巧夺天工
adge	藏青
adgf	苦于
adgk	惹事 葴
adgn	䓐
adgq	苦熬 藏獒
adhb	荐
adhd	葜
adhf	茬
adhh	项目
adhj	䒠
adhk	苦战 蒧
adht	虁
adhu	革故鼎新
adhv	惹眼 蔧
adij	藉
adic	藕 莽汉
adii	苦水
adil	若不
adin	功成不居
adip	苦学
adis	苦酒
adit	苦海 攻其不备
adiu	䒹
adiv	苦涩
adiw	荐举
adjb	英雄辈出
adjd	若非
adjg	若是
adjn	菴
adjs	苦果
adjt	蘷
adkf	若 苦味
adkb	鄀
adkj	蠚
adkk	藏品 茬口 藉口 苦口 匲 䖃
adkp	逽
adln	苦思
adlu	项圈
admy	项 項
admd	䓴
admj	荋
admu	蒇 蕆
adnh	藏
adna	藏民
adnb	荿
adng	苦情
adnk	藕臂
adnn	藏书 项羽
adny	苦恼 苦心
adoa	苦度
adod	蕨类
adoo	惹火
adou	世态炎凉
adow	藕粉
adpa	苦寒
adpg	藏宝
adpn	茂密
adpu	荙
adpy	惹祸
adqc	藕色
adqi	苦乐
adqk	茂名
adql	项链
adqt	藏锋 茬儿
adqv	惹急
adqy	功成名就
adrb	藏拙
adrc	苦瓜
adri	蒝
adrm	英雄所见略同
adrr	䔪
adrt	英雄气短
adru	莽撞
adry	藏掖
adsf	东奔西走
adsg	苦丁
adsh	若想
adsk	䓫
adsl	东奔西跑
adsm	戎机
adsq	英雄本色
adss	苦楚
adsv	若要
adtc	藏私
adtd	苦短
adtf	䓓
adtg	苦行
adth	苦处 藶
adtm	藏身
adtt	苦笑
adtu	莫斯科
adtv	功成身退
adu	茂 芖
adua	䕢
aduc	苦痛
adud	苦头
aduf	戎装
aduh	藏着 惹着
adun	苦闷
adus	苦辣
aduw	蕨
adux	项背
advc	惹怒
advf	藏奸 蕼
advt	藏娇
adwu	萁
adwe	蘛
adwf	菶
adwg	若使
adwh	苦修
adwi	苦大仇深 藄
adwj	萶
adwk	苦命 藕合
adwn	葚 㥦
adwr	䔮
adws	若何
adwt	蓁
adww	惹人 匧 莢 㰼
adxy	茏
adxa	苦练
adxc	藏经
adxh	荐引
adxx	藕丝
adyf	苦读
adyg	藏语 苦主
adyk	苦衷
adyl	葢
adyo	苦恋
adys	英雄豪杰
adyt	藏族 蒙古族
adyu	若说
adyy	藏文
aet	功 㣉
aewu	苏 萸
aeae	苏菜
aeaf	若有若无
aeah	功臣
aeai	散落
aeaj	藤蔓
aeal	藤萝
aean	菜蔬
aeap	功劳
aear	苏区
aeaw	菜花
aebf	莩
aeb	芼
aebb	茄子 菜子
aebc	获取 菔
aebu	苏联
aeca	散戏
aecb	萉
aece	功能
aecn	薍
aecq	菜鸡
aedu	获
aedi	功耗
aedm	散布 蕦
aedp	雅加达
aedq	茄克
aedy	莸
aeee	荔
aeef	萠 蓞
aeeh	功用
aeej	蒯
aeek	散架
aeel	莫须有
aeen	功力
aeer	荕
aeet	获胜
aeey	黄鼠狼
aefb	菜地
aefc	散去
aefg	劳力士
aefi	获救
aefj	蕏
aefm	苏南
aefn	散场 菜场
aefp	功过
aefw	功夫
aegf	苴
aega	散开
aegc	获致 萲
aege	莇
aegk	菜豆
aegw	藇
aehc	蓃
aehi	散步
aeif	功法
aeih	藐小 黄脸婆
aeii	散沙
aeij	散漫
aeik	苏州
aeim	菜油
aein	菜汤
aeiq	散光
aeir	苏浙
aej	苚
aeja	七彩虹
aejf	薶 䔆
aekf	茄 菜叶
aekh	苏中
aekk	菜品
aekm	功勋
aekp	䔏
aela	苏轼
aelf	菜园
aelj	获罪 功罪
aell	菜田
aels	菜圃
aema	散曲
aemu	获赠
aemv	虋
aemw	䕟
aemy	苏丹
aend	散居
aenf	莥
aent	散发
aeny	散心
aeou	荻
aeoa	散席
aeob	菜籽
aeog	功业
aeoq	功底
aeow	散座
aepe	菜农
aepl	苏军 蕣
aeps	苏宁
aept	散客 薆
aepu	切肤之痛
aepw	菜窖
aepy	藐视
aeqb	萖
aeqc	菜色
aeqg	菜鸟
aeqk	功名 菜名 葋
aeqn	菜馆
aeqo	蕮
aeqt	茹毛饮血
aerq	藐
aer	艻
aerc	菜瓜
aerd	菜肴
aeri	蘨
aerj	䓄
aerl	若有所思
aerm	䔄
aerr	若有所失
aers	散打 苏打
aert	散播
aerv	散热
aerw	散失
aesu	菜 䔕
aesd	藤椅
aesf	荔枝
aesg	苏醒
aesk	芝加哥
aesv	菜根
aesy	苏杭
aety	散
aetd	获知 散乱
aetf	功德 葄
aetj	获得 菜篮 获利 功利
aetm	散射
aeto	获悉 获释 蔿
aets	藤条
aetx	菜系
aeui	藤 䕨
aeue	蕂
aeuf	散装
aeug	蕕
aeuj	菜单
aeuo	虅
aeup	恭贺新禧
aeuq	获奖
aeur	功效
aeuu	黄毛丫头
aeuw	获准 获益
aeux	苏北
aeuy	散养
aevf	荽
aevn	菜刀
aewf	散会
aewh	散件
aewi	㔱
aewo	散伙
aewp	苟且偷安
aewt	苏俄 苟且偷生
aeww	菜价 散人
aewx	散货
aexd	蒵
aexg	功绩
aext	苏绣
aexu	散弹
aexy	藤编
aeyj	功课 散剂
aeym	菜市
aeyn	散记 散户
aeyt	获许 功放
aeyu	菜谱
aeyx	功率
aeyy	散文
afsu	某
afqb	芜 芫
afab	劳动节
afac	蒜苔
afad	甘苦
afae	芫荽
afaf	某某 蒜薹
afag	芜菁
afah	贰臣
afai	芙蕖
afaj	甘草 甘蓝
afal	甘薯 蒜苗
afam	蒜黄 蕡
afao	甘蔗
afap	芙蓉 蒜蓉
afat	蔷薇
afay	荸荠 䕙
afbh	邯
afbp	敬老院
afbt	甘孜
afcu	芸 芰 䒧
afcl	蓋
afd	甘 弍
afdj	薷
afdg	若无其事
afdr	甘愿
afec	蘎
afee	某月
afef	落地有声
afel	著有
afen	劳动力
afep	甘受
aff	芏
affa	巨无霸
affb	某地
affc	蕓
afff	葑 茥
affl	甘露
affm	甘南
affo	苇塘
affq	蕘
affs	甘霖
afft	劳动者
affu	䓁
affw	䕀
afga	菱形
afgb	萧规曹随
afgd	某天 落井下石
afgf	甘于 莫过于
afgk	某事
afgo	东南亚
afgs	蒜末
afgt	功亏一篑
afgy	㽍
afhq	某物
afhw	蒖
afhx	某些
afii	蒜 花露水
afid	芜湖 攻无不克
afie	攻无不克，战无不胜
afim	甘油
afin	蒜泥
afiu	苿 䒬
afiv	甘当
afiw	功夫不负有心人
afiy	莍
afj	芉
afjf	某时
afjj	某日 䗣
afjq	暮鼓晨钟
afk	芈
afkf	薹 䓀
afkc	薣
afkk	蘦 䕒
afko	䕵
afkp	薳
afkw	䖅
aflf	蕾 攻城略地
afle	某男
aflh	某甲
aflk	虂
aflm	匵 藚
afmi	贰 貳
afmf	萳
afmr	东南风
afnh	苇
afnb	芌
afnd	甘居
afnf	薵
afnm	恭喜发财
afnu	䓌
afny	甘心
afok	䕋
afou	䓇
afpb	荸
afpc	匹夫之勇
afpe	葧
afpf	䑓
afpg	某家
afqe	菱角
afqk	著名
afql	区块链
afqo	䲺
afqp	䓕
afqq	墓志铭
afqu	荺
afqw	莰
afqy	羐
afri	甘泉
afsj	㽑
afsy	著述
aftj	著 蓍 藿香
aftb	䓔
aftd	甘甜 甛
afth	某处
aftk	某种
aftl	某年
aftq	著称
afts	落地生根
aftx	荖
afuk	蔷 某部
afuc	蕔
afud	蒜头
afug	甘美
afuj	邯郸
afuo	㽐 䕮
afup	薘
afuq	某次
afur	蒜瓣
afux	茫无头绪
afuy	落霞门 蓻
afvh	甘肃
afvs	芜杂
afvv	某女
afwu	芙 某位
afwt	菱 著作
afwa	七零八落
afwc	藝
afwf	七老八十
afwh	某个 某件
afwk	薔
afwo	荒无人烟 爇 䕭
afwp	蕶
afww	某人
afwy	藿 蓺
afxg	莎士比亚
afxx	蕾丝
afye	蘾
afyp	蒜毫
agnn	巧 㤍
agaj	荆 茾 荊
agaa	花开花落
agab	芋艿
agaf	華
agag	萋萋
agam	菁英
agao	鷨
agar	巧匠
agat	茉莉
agbh	邼
agbj	莱阳 萅
agbn	巧了 芚
agca	巧劲
agcf	荎 㦶
agcj	菿
agco	世事难料
agd	匡 弌 㐀
agdg	七古
agdn	七成 菾
agef	菁
agee	七月
ageg	蕤 匡助
ageh	巧用 苛政猛于虎
agej	藸
agel	七舅
agep	蓫
ages	七彩
aget	劻
agfj	芋
agfd	颟顸
agfg	七十
agfi	匡救
agfk	七喜
agfy	七寸
aggd	七天
aggh	匡正
aggk	巧事
aggo	䔷
aggs	擎天一柱
agho	蔫
aghg	廿 龷
zzpp	艹 匚 廾 屮 阝 凵 卩 尢 犭 彡 虍 丨 氵 刂 囗 冂 忄 灬 廴 衤 礻 冖 辶 宀 饣 钅 勹 扌 攵 丿 夂 冫 疒 丬 肀 彐 亻 纟 亠 丶 讠
aghh	卄
ffh	艹
aghi	七叔
aghk	七点
aghu	芐
agif	花天酒地
agig	苤
agik	荆州 䓏
agin	荤素不忌
agip	巧学
agiu	芣
agjn	蕙
agjf	蓴
agjg	荁
agjm	巧遇
agjr	莄
agjs	苹果
agjt	七星
agkf	䓊
agkg	菫
agkh	蒚
agkk	蘁
agkl	葍
agkm	䕱
agko	虉
agku	荳
aglf	共青团
aglg	薑
agln	巧思
agls	荆轲
agmh	芾 䒥
agmj	蓸
agmm	颟
agmu	蔶
agmw	黃 苪 㔷
agmx	䕻
agmy	䓣
agnb	䒓
agng	七情
agnk	戈壁
agno	䲾
agnv	㚽
agou	莱
agpg	七宝
agpw	七窍
agpy	葬礼
agqa	葬
agqf	塟
agqg	薤
agqj	七旬 茢
agqq	戈多
agqr	薚
agqt	七夕 蔜
agqv	薞
agrf	匡扶
agrl	匪夷所思
agrr	七折
agrt	巧手 熙来攘往
agsu	茉
agsk	七哥
agsm	荆棘
agsy	擎天柱
agta	董事长
agtd	功到自然成
agtj	惹事生非 匡复
agtm	葬身
agts	荆条
agtv	七律 荼毒生灵
aguf	苹 东亚病夫
agua	䔊
agub	药到病除
agud	荚 葬送 芋头
aguh	葬着
agux	七弟
aguy	荆门
agvv	萋
agva	莖
agvd	七姑
agve	七姐 葝
agvf	七妹
agvg	七姨
agvh	萐
agvi	巧妙
agvp	七婶
agwf	董事会 蕐
agwk	巧合
agwr	薾
agwx	菁华
agxw	荑
agxq	七绝
agxu	䓯
agxx	戈比
agyf	巧计
agyi	匤
agyn	巧记
agyy	巧言
ahty	雅
ahtb	邪
ahaa	卧式
ahad	卧虎藏龙
ahaj	萛
ahap	苜蓿
ahat	牙医
ahay	雅芳
ahbb	臣子
ahbm	邪祟
ahcm	雅观
ahdc	牙碜
ahdd	牙套
ahdi	薉 繤
ahdk	牙石
ahdm	苫布
ahdx	卧龙
aheb	臣服
aheg	蔖
ahf	芷 䒙
ahfl	苜
ahfg	雅士
ahfh	雅趣
ahfj	羋
ahfr	牙垢
ahft	邪教 雅教
ahgp	蘧
ahgc	雅致
ahge	雅静
ahgg	卝
ahgh	雅正
ahgm	雅丽
ahgo	邪恶
ahgx	邪毒
ahhb	牙齿 牙龈
ahhh	蕋
ahhm	雅虎
ahhs	蘃
ahhw	牙具
ahhy	匷
ahic	菽
ahid	牙尖
ahie	邪淫
ahif	雅洁
ahih	牙婆
ahim	蘋
ahio	雅淡
ahir	荹
ahiu	茮
ahiw	雅兴
ahj	䒜
ahjg	雅量
ahjj	䓬
ahkm	颐 赜 賾 頤
ahkf	苫
ahkg	雅号
ahkk	牙口
ahkn	巸
ahko	熙
ahkv	媐
ahky	㼢
ahlg	卧车
ahll	蘆
ahln	雅思 藘
ahlo	蓾
ahlt	邪路
ahlv	卧轨
ahma	雅典
ahmb	萀
ahmf	牙雕
ahnh	臣 卧 㹂 䁂
ahna	臣民
ahnb	孯 䢻
ahnc	臤
ahnd	硻
ahne	腎 㲯
ahnf	堅
ahng	朢
ahni	緊 䑐 䵖
ahnj	蜸 㔋
ahnk	臨
ahnl	監 盬 鹽
ahnm	牙刷 賢 贒 頣 䖙
ahnn	薡
ahno	煕 㷂
ahnq	覽 鋻 鍳 鑒 覧
ahnr	掔 擥
ahns	㯺
ahnt	邪性
ahnu	豎 竪 䜿 䝂
ahnv	婜 䭆
ahnw	臥
ahny	譼 㻨 㽉 䛗 䑑
ahod	莫此为甚
ahoo	邪火
ahoq	卧底
ahos	牙床 邪魔
ahou	蔝
ahow	雅座 牙粉
ahpf	七步之才
ahpg	卧室
ahpv	雅安
ahpy	邪神
ahqb	莧
ahqc	牙色
ahqi	英特尔 雅乐
ahqo	薒
ahqs	卧铺
ahqy	萈
ahrf	牙质
ahrn	邪气
ahrq	邪魅
ahry	熙攘
ahsg	卧槽
ahsh	雅相
ahsj	卧榻
ahso	菽粟
ahsv	牙根
ahsy	邪术
ahte	牙
ahtg	鸦
ahth	鸦片
ahtk	熙和
ahtm	卧射 䪵
ahto	鴉
ahtp	迓
ahtu	牙科 邪乎
ahtv	㸧
ahtw	牙签
ahuc	牙痛
ahud	牙关
ahug	卧病
ahuh	卧着
ahuj	雅间 雅意
ahun	切齿痛恨
ahuq	卧姿
ahut	邪道 牙疼
ahuv	臣妾
ahuy	邪门
ahvo	邪灵
ahwd	臣僚 藈
ahwf	牙祭
ahwg	七上八下 卧倒
ahwn	邪僻
ahwo	邪念
ahww	雅人
ahxb	茈
ahxg	牙线
ahxi	䔝
ahxs	䓱
ahxt	牙缝
ahyi	㸦
ahyn	卧房
ahyp	牙膏
ahyu	邪说
ahyy	雅言
aii	东
aitk	落
aiaf	茳
aiaa	范式 䔐
aiae	菠菜
aiag	巧不巧 薄葬
aiai	茫茫
aiaj	落幕 落草 蒲草
aial	菠萝 蘫
aiam	落英
aian	菃
aiap	东莞 东芝 东营
aiar	东欧
aias	蕖
aiaw	薄荷 落花 葓
aiax	勤学苦练
aiay	落荒
aibb	范
aibm	落聘
aibw	荡除
aick	菭
aicn	落马
aicq	落汤鸡
aicw	落难
aidd	落套
aide	东胡
aidl	东面 薄面
aidn	落成
aidr	黄雀在后
aidt	艺不压身
aidw	落雁
aieg	菹 邪不胜正
aiea	薄膜
aied	蒸汽朋克
aief	落脚 莦
aiej	萷
aiep	东边
aieq	落选 落水狗 薄脆
aies	蔽膝
aifb	落地
aifd	东城
aife	苦海无边
aiff	鸦雀无声 落款
aifh	惹不起
aifl	落雷
aifm	东南 苦海无边，回头是岸
aifn	落霞
aifo	荒淫无度
aift	薄雾 蔆
aifu	蒙混过关
aify	苦不堪言 蒲墩
aigf	萍
aiga	䓑
aige	蔳
aigg	藩王
aigh	落下
aigo	东亚 东晋 划不来
aigs	黄粱一梦
aigu	荡平
aigx	东夷
aihc	菠 蔋
aihk	落点
aihv	蔢
aiit	莎 东海
aiia	黄浦江
aiic	东汉 菏泽
aiid	东湖
aiif	落潮
aiih	落泪
aiii	落水 敬酒不吃吃罚酒
aiio	东渡
aiir	落泊
aiis	薄酒
aiiu	荡漾 东洋
aiiv	䓾
aiiw	黄澄澄
aiiy	东瀛 东流
aijc	蕅 䕕
aijd	东非
aije	东盟
aijf	䓠
aijj	落日
aijl	蕰 蘯
aijn	䔽
aijr	蕩
aijs	落果
aiks	藻
aikf	落叶
aikg	东吴
aild	范畴
ailf	范围 蒲团 䕪
ailg	藩国
aill	薄田 薀
ailt	东路
aimt	蔽 落败
aimc	莈
aimd	东岸
aimf	东周
aimm	东山
aimr	东风 落网
aimx	虌
ainr	荡
aing	薄情
aint	落发
ainu	荧光屏
aiod	藻类
aios	汞灯 东床
aiow	落座
aipa	落寞 蔽塞
aipf	燕雀安知鸿鹄之志
aipg	东家 落定
aipk	东宫
aipq	莐
aipu	落实
aipw	落空
aipy	薄礼
aiqg	鸫
aiqa	䓋
aiqb	茪
aiqd	茫然
aiqf	藩镇
aiqi	落锁
aiqn	薄饼 萢
aiqy	䓜
aire	蒎
airf	萡
airg	落后 东岳
airj	䓅
airr	落魄
aisu	蒲 落榜 莯
aisf	薄
aisg	东西 范本
aisi	功不可没 薸
aisj	藫
aisk	菏
aisp	落枕
aisq	蒲柳
aisr	薄板
aist	萍水相逢 落槌
aisy	汞柱
aitd	萿
aite	落笔 东航 荡舟
aitg	东征
aitj	薄利 落得
aitl	藩
aitr	䒚
aits	䓷
aitv	东魏
aitx	落第
aity	落入
aiu	汞 䒕
aiua	落差 蓱
aiug	艾滋病
aiuh	东站
aiui	薄冰
aiuj	落单
aiuk	东部
aiur	东郊
aius	黄粱美梦
aiut	东道
aiux	东北
aiuy	东门
aivc	蓡 薓
aivf	葏
aivk	菬
aivs	蒅 薻
aivu	勤学好问
aivv	荡妇
aivy	落忍
aiwg	范例 落伍 虃
aiwh	荡悠
aiwj	蕍
aiwk	薄命
aiwm	东侧
aiws	落体 蒤
aiwu	蒞
aiww	落价
aiwy	匯
aixa	落红
aixc	东经
aixf	藏污纳垢
aixi	薄纱
aixt	萍乡
aixu	薄弱
aiyn	茫 落户 蒲扇
aiyb	东郭
aiyi	东京
aiyk	蓅 薃
aiyq	东方
aiyt	东施
aiyv	蒗
aiyy	范文
ajh	划 㓚
ajdd	匪 莫大
ajaa	萌芽
ajad	草莽 莫若
ajae	葛藤
ajaf	蓽
ajag	墓葬
ajah	蓝牙 莫邪
ajai	菲薄 划落 蓝藻
ajaj	草草 蓝蓝 菲菲
ajak	草鞋
ajat	草莓 蓝莓
ajav	草菇
ajaw	草芥
ajax	草药
ajbc	蕞
ajbb	茧子
ajby	莫及
ajce	莫劝
ajcq	草鸡
ajdl	菲
ajdu	莫
ajdb	鄚
ajdc	蓦
ajde	募
ajdf	墓
ajdg	韮
ajdh	幕 划破
ajdj	暮 蟇 㔈
ajdk	花里胡哨
ajdm	幕布
ajdn	慕 蕜
ajdo	驀
ajdq	㱳
ajdr	摹 草原 墓碑
ajds	䕁
ajdt	匪帮
ajdw	暮春
ajdy	謩
ajef	萌
ajem	募股
ajf	昔 䒤
ajfb	草地 墓地 蓦地
ajfc	萌动
ajff	幕墙 荲 蒔
ajfg	草坪
ajfh	鹊起
ajfj	䓍
ajfm	草垛
ajfn	草场
ajft	蒙昧无知
ajfu	莳
ajfw	劳师动众
ajfy	暮霭
ajgd	蓝天
ajge	蓝靛
ajgl	䕎
ajhc	草皮 皵
ajhf	萺
ajhk	攻坚战
ajhx	蓝紫
ajib	蓄电池
ajig	划清
ajii	划水
ajil	莫不
ajim	莫测
ajip	草堂
ajiq	蓝光
ajj	草
ajjd	莫非
ajje	荒时暴月
ajjf	菖 昔时
ajjh	剒
ajjj	昔日 蕌
ajjp	草蛇
ajjv	划归
ajkn	莫叫
ajlc	蔓
ajlf	划转 蒀
ajll	蓝田
ajlt	蓝图 草图
ajlw	划界
ajma	草贼
ajmc	萬
ajme	勱
ajmh	草帽
ajmj	蠆 䘍
ajml	躉
ajmm	花果山
ajmn	䖁
ajmp	邁
ajna	草民
ajnb	莫敢
ajng	草屋
ajnn	草书
ajnt	萌发 䒶
ajnu	蓝屏
ajoa	草席
ajob	草籽
ajol	暮烟
ajos	葛麻
ajou	草料
ajow	幕府
ajpb	草字
ajpd	逪
ajpf	草寇
ajpg	划定
ajpl	匪军
ajpr	幕宾
ajpv	草案
ajpw	慕容 墓穴
ajqn	葛 草包
ajqc	蓝色 暮色
ajqd	蓦然
ajqg	鹊
ajqk	莫名 慕名
ajqo	鵲
ajqr	䓪
ajrg	幕后
ajrh	斮
ajrk	募捐
ajrn	划拨 草拟
ajru	划拉 茰
ajrv	草垫
ajse	草棚
ajsg	草本 蓝本 草酸
ajss	草木
ajst	鹊桥
ajsu	草样 菒 菓
ajsv	草根
ajtl	蓝 暮年
ajte	划船 划艇
ajtf	匪徒 葃
ajtg	萌生 虄
ajth	蔓延 划算
ajtj	惹是生非
ajto	莫愁
ajtp	莫管
ajtt	莫笑
ajtw	草签
ajty	草稿 㪚
aju	茧
ajub	莫逆
ajud	草头 划拳
ajue	幕前
ajuk	莫问
ajus	萌新
ajut	匪首 莫道
ajuv	划痕
ajvb	郾
ajvd	匽
ajvj	鹊巢 匪巢
ajvk	莫如
ajvo	鶠
ajvw	㰽
ajwa	划时代
ajwb	草创
ajwd	幕僚
ajwf	划付
ajwp	蓝领
ajws	草体
ajwt	划伤
ajwv	划分
ajww	草丛
ajwy	募集 草食 䧿
ajxg	划线
ajxk	草绳
ajxq	草纸
ajxv	草绿
ajxw	摹绘
ajxx	茧丝 菎
ajxy	草编
ajyh	莫让
ajyn	莫忘
ajyu	莫说
ajyx	草率
akgd	或 戜 茣
akgn	惑 懃
akab	鞯 䩸
akaa	莴苣
akac	韄
akad	勤苦
akae	鞴
akaf	鞲 鞾 䪇
akak	鞳 䩽
akal	韊
akan	靾
akao	韉
akap	勤劳
akar	鞋匠
akas	鞢
akaw	韈 䪄
akbf	葺
akbb	鞋子 燕子 鞭子 靴子 靶子
akbg	䩯
akbj	䩶
akbk	革职
akbw	革除
akby	蕺 靸
akcn	靶 鞍马
akcb	䓃
akce	或能
akck	靶台
akco	䩻
akcs	鞣
akcy	靫
akd	叵 戓
akdp	鞑
akdd	鞋套
akde	䩨 䩴
akdg	䩬
akdk	䩭
akdl	勤奋 鞋面
akdt	鞋帮
akdw	䩡
aket	勒 鞭毛
aked	鞵
akee	鞱
akeg	靻 䩗
akej	莂
akek	鞋架
akel	或有
akev	鞖
akff	鞋
akfd	鞋城
akfg	靯
akfh	燕赵 靬
akfi	菋
akfk	鞊 囏
akfm	韇 䩿
akfn	靶场 戁
akfo	㸐
akfp	勒索 韃
akft	或者
akfv	艱
akfw	歎 臡
akfx	㔮
akfy	難 尀
akge	勤
akgb	鄞
akgc	䰥
akgf	堇 勤于 䩒
akgg	勤王 韁
akgh	勤政 䩹
akgi	㳼
akgk	鞋带
akgq	觐 勒死 覲 靰
akgr	彧 鞕 斳
akgs	靺
akgt	燕麦 㝻
akgw	鞆 歏 䩟 㰲
akgx	䩘
akgy	䩫
