auui	以
hrjq	斯 甘拜下风 甘拜下風
hs	世
htvi	花 蓧
huiu	茶 鷋 藥檢
hvjq	获
hw	瓦
hxfe	联 严打
hycv	荒 菨
hzvo	落
iawu	极 機座
ibz	李 杍
ic	寸
ido	权
iekg	巧 標題
if	丰
ig	工
ihkf	模
iiv	林
ijv	杜
ikgu	查 柦
ilb	朴
im	末
inrx	想 相乘
iogl	整
ipu	才
iqj	机
irdo	板
is	三 ㈢ ♵ ㊂
itai	松 枩 欎 欝
iuez	检
iv	木 Ⅳ ㈭ ㊍
iw	未
ixy	样
iytt	校
izdc	过
jai	去
jbpp	教 地铁
jc	車
jdjz	起
jek	考
jf	夫
jg	古
jhdz	趣
jic	寺
jjic	封 轉 㜂
jkv	者
jlbz	赴
jmvf	规 賣錢
jnoz	趟
jo	尤
jppg	故
jq	犬
jrx	志
jsvg	胡 䭌
jtiz	赵
ju	士 丅 耂
jv	土 ㈯ ㊏
jwu	下 ㊦ 圡
jxxk	增
jy	雨
jz	走
kavt	累 畯 㽙
kbvy	邮
kclt	男 ㊚ 㽖
kd	电
keej	里
kfpg	晓
kggm	题
khdo	最 最强
kic	时
kj	甲
kkv	旧 昍
klxu	显
kmdo	曼
knv	冒
ko	禺
kpgm	师
kqov	晚 冕 㫟 㫥
krxt	思
ks	申
kt	田
ku	曰 丨
kv	日 ㈰ ㊐
kwcv	晏 㫨
kxft	畔 明火执仗 疄
ky	由
kz	早
lam	蚂
lb	卜
lc	齒
ldav	紧
ledz	歧
lf	非
lgzh	遽
lhiv	蝶
lig	虹
ljwu	虾
lkiv	桌 蜾
ll	鹵
lmb	贞
lnuz	步
loxh	点
lp	攴
lqjh	虎
lrxh	虑
lsvz	肯
ltrx	螅 上進心
ludz	龄 龅 㱓
lv	虫
lwvi	蛇
lxu	业
lywh	虔
lz	止 ʫ
maay	幽
mb	贝 ㏔ ㎆
mczw	遝
mdj	岂 屺
menw	置
mfhb	贼
mgeg	岸 㟁
mh	黑
mipb	财
mj	巾
mksb	赐
mldb	则 農業局
mm	皿 ㎜
mnsv	峭
motj	帜
mppb	败
mqxw	罗
mrdb	贩
msab	购
mtld	刚
muu	内 㞤
mv	山 ㎷ ㎹
mwfs	崇
mxkb	赠
myob	赔 崞 嵜 﨑
mzlw	罚
naiq	县
nb	貝
nclq	助
ndfq	眠
nesv	睛
nfdw	因
ng	骨
nhuu	瞒
nipw	团
nj	見
nkog	髃
nlvi	眦
nm	門
nntw	瞿 閉關自守
novw	回
npzz	眨
nq	且
nrhu	睡
nsld	削
ntuq	具
nuuw	囚
nv	目
nwio	瞎
nxbw	圈
nyhg	骸
nzom	闊
oau	叫
obgz	跟
ocld	别
odvi	呢
oek	号
ofy	呀
ogfd	吴 嚴緊
ohtu	哄 嚿
oiw	味
ojox	器 噎
okrx	忠 中心 忠心 中秋
olv	虽
omb	员 呗
onfd	咽
oox	品
opbi	吃
oqq	吹
orju	听
osdz	跑
otu	只 叭
ouov	响
ov	口
owfz	踪 㗌 㗧
oxiz	蹲 蹉
oytt	咬
ozdp	啵
pai	么
pbgj	银 節奏
pc	长
pdkp	第
petj	镇
pf	缶
pgfj	钱
phkj	错 锚 
pi	矢 π
pjic	等
pkvu	复
plrx	怎
pmln	制
pn	牛 牜
povi	知
pp	攵
pq	气
pry	笑
ps	生
ptic	符
pugo	答
pve	先
pwdd	管 镰刀
pxiu	乎 氣槍
pyvj	镜 锍 铳
pzkv	简 简略
qa	凡
qbbu	争
qcx	尔
qdb	色 䰾
qegu	写
qf	風
qgbu	危 危险 危險
qhei	饵 馑
qivj	朵 凩
qj	几
qkvy	鲁 鲲
qlbx	外
qmb	负
qngi	馉
qovx	名 ㈴ ㊔
qpmi	饰
qq	欠
qru	农
qs	殳
qtij	风
quii	馀
qv	魚
qwu	久
qx	夕
qy	鱼
qzmy	鳊
rai	私
rbdr	廷
rcv	委
rdo	反
remb	质
rfdu	秬
rg	瓜
rhur	垂 䳠
riuj	杂
rj	九 ㈨ ㊈
rkv	香
rld	利
rm	毛
rnvs	看 稍爲 反敗爲勝
ro	舟
rpux	必 鴓
rq	千
rr	壬
rs	手 
rtuy	乔
rucs	穆
rv	禾
rwuj	丸
rx	心
ry	夭
rz	爪
sado	服
sbgr	很
sctu	胁
sds	包
serr	德 徳 憄
sfs	祭 ㉀ 䏡
sgms	须 盨
shkv	腊
siua	膝
sjxh	然
skgu	胆
sllr	徙
smpr	微 微笑 徽 徵 黴 鰴 徾 幑 徴 㣲
sn	鸟
soqq	够 欨
sps	胜
sqs	股
srnr	循
ss	彡 ∬
stau	匈
suez	脸
sv	月 ㈪ ㊊
sw	乌
sx	行
sy	用
szvx	衍
tai	公 仏
tb	鼻
tc	川
tdd	分
teov	何 仁兄
tfi	代 ㈹
tgot	使
thmi	希
tigu	体
tjpp	做 僌
tkgu	但 但愿 但願
tlb	仆
tmv	仙
tntu	俱
toiv	保
tp	片
tqcx	你
trr	任
ts	身
tti	父
tu	八 ㈧ ㊇
tvi	化
tw	隹
txv	伙
tyl	位
tz	自 ㉂
uasb	泉 樂律 㣐
ub	白
ucem	惯
udjv	怪
ueai	会 忶
ufgt	舆
ug	鬼
uhkv	惜
uiqj	毁
uj	臼
uku	个
ulz	企 ㈽ ㊭
umjb	帛
un	鳥
uov	向
ups	性
uqdp	懈
urqb	卑
us	鼠
utu	介
uu	人
uvi	仑
uwbu	今 领队 鳹
uxfd	奥
uyoc	惊
uzdd	追
vazd	迎 飽經滄桑
vb	比
vcl	务 釛
vdoz	貂
veub	毕
vfq	氏
vgae	印 ㊞
vhkq	猎 猫
vi	匕 Ⅵ
vjoq	犹 狤
vkt	备 鈿
vlb	处 釙
vmai	爵
vngq	猾 㹰
vov	各 釦
vpli	疑
vqdo	受
vr	入
vs	食 飠
vtpq	猴
vubb	皆
vv	金 ㈮ ㊎ 釒
vwdk	留
vxze	逃
vytq	狡 鏡像
vzu	冬
was	永 氷 㲾
wbz	字
wcv	安
wdpi	被 䙙
wev	主
wfs	宗 ㊪
wg	广
whdg	度
wigx	空
wjvs	社 ㈳ ㊓ 祾
wkss	神 禓
wl	鹿
wm	麻
wnqs	祖 視角
woov	宫
wpib	疾
wqtb	疯
wrjx	究
wsfs	察 應用技術 䄞
wti	义
wuox	容 䆟
wvi	它
wwbg	廊 㝗 㢃
wx	穴
wy	衣
wzfd	实
xass	冰
xbfs	决 冿
xcpm	数 粆
xdkp	弟
xesm	精 精微
xfd	关
xgmb	烦
xhv	并 灷
xigy	差
xjfd	美 壮大
xkeu	单
xlxk	普
xm	米
xnvy	着
xorx	总
xplu	炸
xqic	将
xrzd	遂
xsld	前 剪
xtws	准 道袍
xuds	冷
xv	火 ㈫ ㊋
xwbm	粮
xxoy	善
xy	羊 
xzem	料
dllg	离 ☲ ䷷
ybzi	孪
ycse	望
ydoi	变
yesl	靖
yfdi	奕
ygew	斋
yh	亥
yi	亦
yjvn	童
ykzl	章 遧
yl	立
ymj	市
yn	音
yocj	就 就绪
ypul	产
yqj	亢
yrxn	意
ysxn	韵
ytu	六 ㈥ ♸ ㊅
yu	方 亠
yv	言 訁
yw	文
yx	辛
yyfg	識 旘
yzdi	迹
zaov	治
zboy	词 谲
zcpu	沙
zdjy	记 漏
zeuy	计
zfd	头 汏
zgtu	兴
zh	户
zig	江
zjai	法
zkvm	间
zlsy	让 滥用
zm	门
znsv	消 㵎
zovm	问
zpcm	海
zqbz	学 学子 ㈻ ㊫
zroy	话 诟
zsoy	调
ztc	州 汌
zuvy	论 记忆犹新
zvov	洛
zwty	议
zxvy	说
zyav	流 㳘
zz	之
auaw	以及
aobu	台阶
afco	参加
apdt	收费 收費
afeg	参与
apfl	收到 收據
augx	以来
awhq	及其
abin	幻想
aaja	出去 出擊
ankg	乃是
amls	马上 網上
apms	收购
apno	收回
aaov	出口 出路 紿 絲路 斷路
aaps	出生
aaqd	出色
aars	出手
asso	能够 水肿
aatr	出版 出任 出以公心 出息 繼任
apue	收敛
apvr	收入
aawh	出席 絲襪 幾度
afxc	参数
apym	收市
auzc	以为
bzaa	退出
bybz	孩子
bzcv	子女
bgdo	隔壁
bxea	灵魂
biff	寻找 尋找
bgjd	了不起
bqhf	隐藏
beio	迅速
btjp	飞龙
bekg	也是
bylz	防止
bymg	陪同
bkng	阳光 陽光
buom	队员 司令员
bbpm	限制
bsqt	阴风
btrj	附近
basj	既然
batg	即使 即便
beue	也会 也與
bgvk	预备
bpwe	郡主 君主
bhxn	随着 隨着
bfyl	建立 建站
bfzq	建设 陈设
cdau	经验
cvbz	女子 娐
cjcw	姑娘
cvdh	发展
cvem	发现
cvfq	发挥 发软
cvgi	终于
cdhq	经营 纽带
cdiz	经过
cojw	如下
coki	如果
colv	如此
comg	如同
cdnq	经常
cdob	怒吼
cvps	发生 女生 终生
cbqo	好象
cxrx	小心
cesf	贯彻
cote	如何 加價
cvuu	女人 好爲人師
cvve	女儿 发狂
clwh	力度
cpxc	少数
cvyv	发言
cdzy	经济
dhaa	展出
dfbz	屋子 戏子
decz	那边
djdf	居民
dfeg	屋顶 屋頂 弫
dofd	强大
digi	对于
dphg	改革 皮革 皮帶
deix	那样 那樣
dkjd	引起
dgki	登时
delv	那些
dpmu	皮肉
ddnv	双目
dqop	欢呼
depa	那么
diqo	对象
ddrs	双手 選手
djsj	居然
diti	对付 导体
deuk	那个
deve	那儿 張狂 発
dfwe	民主 屋主
dtxt	难道
ddyu	双方
dozs	强调
eoas	可能
ebbz	妻子
eacl	动力
eadx	动弹
erem	表现
erfs	表示
engl	真正
emhk	现在
ecin	互相
egjy	环境 球壇
eokg	可是
eclx	专业 无业
eomv	可见
exnq	平常
euol	十足
espf	青年 瑤
emqo	现象
ears	动手
easx	运行
eutd	十分
erue	表情
ecvb	无比 要犯 毒犯
ecwg	专家 协定 要塞 協定
emxq	再次
egyo	干部 顶部 頂部
eczj	无法
fkaa	提出 抽出 臨界狀態
fpbw	医院 醫院
ffcq	拒绝
fvdi	指导
fcex	东西
fdfd	轻轻 把握 巨大 切切 緊緊 緊握 握緊
fdgg	大厦 大难不死 堅硬
fshs	拥有 示警
feiw	技术 转述
ftjf	区域
fdkp	大师 巨星
fvlo	挑战 指点
ftmu	区内 擕
fenb	转眼 打眼
fbom	成员
fwpm	控制 㨸
fyqs	接触 接觸
fkrx	担心 轴心 揌
frsx	执行 暂行 折腾 折騰
fkth	提供
feud	奇怪 鵸 夲
flvl	到处 到此爲止
fwwh	态度
faxt	报道
fkyo	提高 鹌鹑 鵪鶉 押韻
fbzc	成为
gbas	不能 碌 万能
gubf	一阵
ghcv	开发
gedi	而已
gbec	不要
gxfl	来到 碰到
gugm	一面 碖
gzhs	还有
gbiz	不过
gfjw	天下
gzkg	还是
gulo	一点 原点 ㍙
gfmv	天山 五指山
genq	而且 厅堂
gcot	历史
gbph	不错
gbqw	不久
gurq	一般 碑
gbsk	不得
gbtw	不住 不依
guve	一会儿
guvi	一条
guwg	一定 一家 原定
gmxs	面前
guyr	愿意 原意 願意
glza	政治
hdaa	取出 䓛
hxbc	严肃
hscd	世纪
hjde	基层
hqea	劳动 带动
hcfz	甚至
hlgf	蓝天
hkhk	存在 草草
hjig	基本
hwjf	丈夫
hsku	世界
hslv	有些
htmg	共同
hmne	英国
hqok	其中
hjpr	苦笑
hjqo	著名 藝名
hsrr	有所
hdsk	取得
hqtb	其他
hxug	联合 恶鬼
hjvv	基金
hqwz	其实
hsxf	有关
hsyt	有效
hszk	期间 世间 散漫
icas	功能
ixbz	样子 梯子 樣子
iccl	功力
indi	相对
inec	相互 想要
igfa	本报 三天打魚，兩天曬網
izgx	过来
iahq	极其
iqis	机构
izja	过去
ipkg	才是
iolx	事业 事業
inmg	相同
ignv	项目 榎 項目
iqoj	机器 恐吓 恐嚇
iqpm	机制
inqo	想象
igro	工程 工种
issv	三月 棚 ㋂
igtp	工作 工伤 工傷 構件
ioue	事情
iovc	事务 速錄
iowz	事实
iqxf	机关
igyw	本文
ikzs	查询
joaa	露出
jwbv	下降
jxco	增加
jodq	喜欢
jgec	需要 輀
jbft	地区
jwgm	下面 下页
johq	尤其 露营
jdiz	超过
jwja	下去
jbkp	教师 壽星
jbls	地上 壻
jmml	规则 賣點
jbnq	教堂
jdou	声响
japf	去年
jkqb	埋怨
jwrs	下手
jmsb	规律
jdts	起身
jfuu	夫人 埉
jbvz	地狱
jmwg	规定 賣家
jbxt	地道 孝道 教導
jdyn	声音 聲音
jdzf	起头
klaa	显出
kvbz	日子
khcb	最好
kzdi	早已
kreq	思索
klfs	显示
ksgf	明天
kihs	时期
krin	思想
krje	思考
kskl	明显
kqls	晚上
kzmv	遇见
king	时光 果园
kyou	影响
kspf	明年
kyqo	景象 影象
khrg	最后
kisj	果然
kitk	时候
kcuu	男人
kyvl	暗处
kdwm	电视
kvxs	日前
kiyl	时刻
kizk	时间
lnah	步骤
lkbz	桌子
lsca	上级
lddp	紧张
lsex	上班
ldfj	坚持
lsgm	上面 上页
lohs	占有
lsiw	上述
lsja	上去
lvki	此时
llzf	点点头
lsmv	上山
lfnq	非常
lsov	上路 蚼
lspe	上午
loqb	战争
lvrg	此后
losp	战胜
lntf	步伐
lrua	悲惨 悲慘
lxvc	业务
lswg	肯定
lsxs	上前 蚐
lvyl	此刻
lozf	点头
mqam	罗马
mjbl	罢了
mtcv	网络
mndo	峭壁
mvex	山西
mqfo	逻辑
mtgm	网页
mghs	同期 還有
mtip	刚才
mgjr	同志
mhky	黑暗 黑影
mgln	同步
mtmt	刚刚
mgnq	同党 同黨
mvov	山路 山口 峉 峈
mjpc	署长
mhqd	黑色 艶
mwrg	崇拜
mgss	同胞
mmty	岗位 崗位
mgue	同情
mmve	婴儿 岘
muwu	内容
mvxj	见状
mgyr	同意
mgzq	同学
noap	回收
nebf	国际
nicj	团结 䙷 䙸
nidt	困难 团费
nben	当真
nqfd	掌握
nogx	回来
nths	具有
nvif	目标 图标 䀱
noja	回去 回擊 過去
nbki	当时
nflv	因此
nemu	国内
nbne	眼睛
nqom	党员 常 赏 黨
nopu	回答 問答 目中無人
neql	国外
nqrc	党委 常委 黨委
nbsj	当然
ntti	具体 閱兵
noub	回忆 過快
nvbw	国务院
nowg	回家
nvxs	目前
nvyu	四方
nfzc	因为
otas	只能
obbh	跟随 跟隨
otcb	只好
oadk	吸引
otec	只要 嘦
oyfy	咬牙
oega	号码
oths	只有
omig	员工
oojk	患者
otkg	只是
ovls	路上
otmv	只见
onuu	中国人 中間人 中國人
ouou	哈哈
ovpq	口气
ocql	另外
olsj	虽然 雖然
ottz	咱们
ocuu	别人
odve	哪儿
ouwz	响应
ovxd	兄弟 路燈
ofya	距离 距離
orzx	听说
poas	智能
pbbz	银子
pacy	系统
pedi	针对
pwek	管理 箮
pffd	年轻
pdgu	第一
pchs	长期
pdis	第三
pjja	失去 重擊
pnkg	算是 销量 锁匙
pjlo	特点 重点
pumj	签署 锦 簽署
pfne	我国
pjoc	特别
plpa	怎么
pjqd	特色 失色
pvrg	先后
pbsx	银行
pftf	年代
psug	生命
pivk	筹备
puwz	答应
poxt	知道 悉听尊便
psyp	生产 物产
pozr	告诉
qlaa	外出
qcti	多媒体
qrdf	农民
qmem	负责
qmfk	负担
qlgm	外面
qbhd	争取
qrii	农村 农林
qtjd	风声
qakg	凡是
qrlx	农业
qtmv	罕见
qlne	外国
qooe	名号 名數 名號
qjpx	几乎 几番 運氣
qqqw	多久
qqro	多种
qosk	免得
qotu	名牌
qbuy	急忙
qdvi	色彩
qowb	名字 酁
qsxb	解决
qlyt	外交
qqzt	多谢
rnaa	看出 租出
rxbx	心灵
rsce	手续
rddi	反对
rpec	必要 九牛二虎之力
rzfe	科技
rngx	看来
rrhs	所有
raiz	透过
rsjw	手下
rxke	心里
rsls	手上 称得上 稱得上
rnmv	看见
rjnq	欣赏 欣賞
rxok	心中
rjpf	近年
roqs	和解
roro	种种
rpsg	必须 必須
rsti	手段
rouu	敌人
rxvq	心爱 乖 心愛
rqwg	稳定
rlxt	利益
rlya	利率
rkzh	香港
skaa	得出
skbl	得了
sycl	用力 脑力
sqdx	脆弱
sxea	行动
sdfr	包括
sjge	然而 臑
sshd	朋友
sxio	行事
sjjw	脚下
sbkp	律师
sjln	脚步 徒步
skml	得罪
sene	德国
ssov	胸口 朐 胊
suqd	脸色 臉色
sjrg	然后
sssj	忽然
sytf	脑袋
sbub	很快
savc	服务
sfwv	彻底
sjxt	街道
skyr	得意 㣙
sxzc	行为
tpaa	作出 作祟 片斷
tabg	公司
tscz	身边 优胜劣汰 優勝劣汰
tzdj	自己 自居
tfer	代表
tofz	保护
tsgh	身形
tnhh	倘若
tdir	分析
tvjd	低声 低聲
tkkg	但是
tsls	身上
tyme	位置
tini	集团 兵团
tdoc	分别
tepa	什么
tpqt	作风 伤风
tsrg	身后
tzsj	自然
tqtz	你们
tiuu	杀人 体魄 债权人 債權人 殺人
trvc	任务
tawe	公主
texo	何况
thyc	希望 備忘
tpzc	作为
upas	性能
uubp	人群 人羣
utcd	介绍
uudf	人民
ugek	合理
uefa	情报
uwgf	今天
ueha	情节
uuio	从事 人事 从速 怕事
uwjf	领域 領域
uwkv	今日 领略 領略
ullx	企业 企業 憈
uemv	会见
uene	全国
uuom	人员
uwpf	今年 㤞
ubqd	白色
uwrg	今后
uhsk	懂得
ugtp	合作
ukuu	个人
ugvp	怀疑
uuwg	人家 慢性病
uexo	情况
ueyo	全部
uezw	会议 情谊 会演
vlau	处以
vjbq	犹豫 㹲
vvcv	金发 鋖
vxdo	逃避
vlek	处理
vbfy	比较
vvgo	金融
vihd	采取
vein	猜想
vwjw	留下
vwks	贸易 貿易 鹠
velx	毕业 針對
vbml	犯罪
vone	各国
vsoo	食品
vsps	食物 爲生
vgqo	印象
voro	各种
visy	采用
vitp	条件
vque	爱情 愛情 䑟
vbvb	狠狠
vbwg	比赛 犯病 雞蛋裡挑骨頭 比賽 雞蛋裏挑骨頭
vixt	匕首
veyv	毕竟 狂言
vizy	采访
wjaa	突出
wzbf	实际
wbcb	良好
wcdf	安慰 安民
wzem	实现
wgfb	完成
wvge	客厅 容錯碼
wzhk	实在 应聘
wgio	完整 赛事 家事 完事 賽事
wvjw	底下
wuks	容易 禬 寫明
wdln	初步
wemb	宝贝 癫 㾺
wznb	应当
wzog	实践
wvpq	客气
wkqd	神色 褐色
wkrr	神秘 寓所
wjsj	突然
wvtz	它们
wjue	社会
wqve	疯狂 瘋狂
wewh	主席
wmxg	麻烦 麻煩
wzyp	实施
wzzy	应该
xlaw	普及
xdbz	弟子
xkcv	爆发
xlds	普通
xoek	总理
xcfd	数据
xhgb	并不
xehs	尊敬
xqiv	资格 桨 資格
xtjk	首都 首場 道場 導電
xokg	总是 总量
xhlf	并非
xmmv	瞥见
xjne	美国
xtov	道路 㘏
xfpa	关系
xqqf	将军
xfrx	关心 关税 减税
xssw	前往
xkty	单位
xtuu	道人
xtvk	准备
xbwg	决定 决赛
xuxu	冷冷
xvyo	北京 北部 背部
xqzg	资源 資源
ypaa	放出 产出
ylba	立即
ytcu	交给
ytds	交通
yoec	就要 毫无
yufi	方式
yagh	离开 變形
ywhb	文艺
yzix	这样 這樣
ymjb	市场
yokg	就是
yzlv	这些 這些
yrmv	意见
yinb	亲眼 親眼
ypoo	产品
yzpa	这么
yoqb	竞争
yors	高手
yvsj	竟然
ywtv	文化
yuuo	方向
yzve	这儿
yrwt	意义
ytxt	效益 說道
ylyl	立刻 站立
yuzj	方法
zlaw	涉及
zkbi	温柔
zfcv	头发
zndt	消费 消費
zrea	活动
zefl	计划 请到 讲到
zzgu	之一
zqhs	没有 设有 学期 浓郁 涣散 渙散 沒有
zeii	清楚
zdjk	记者 译者 消费者 潳 消費者 漏電
zokg	问题
zzls	之上
zzmu	之内 混淆黑白 㴜
zjne	法国
zzok	之中 㴢
zpiq	计算机
zpqq	许多
zzrg	之后
zqsk	觉得
ztpa	为什么
zcuu	为人 㵤
zqvr	深入
zwwm	注视
zxxt	说道
zwyr	注意
zzzk	之间 润滑油 潤滑油
aaas	淼 出水 絲綢 斷水 㴇 㵘
aafs	祟 出示
aaji	垒
aaky	畿
aaom	骀
aasm	骖
aav	絲
aawu	級
aaxm	粜 絲米
abdm	骎
abem	驰
abkg	繣
abls	縃
abqd	綅
abru	縁
abtm	骕
abxt	繍
aby	紓
abzn	孕
acgs	緣
acki	繅 幼时
acpu	紗
acu	糺
acxn	尕
adal	繈
adb	紦
addb	絕
adeu	紐
adfm	驿 骙
adj	紀
adku	紖
adlm	骚
adom	驭
adp	紴
adtu	紼
adw	緯
aeav	縤
aebc	緀
aefs	縹 終南捷徑
aeic	縛
aejv	緸
aekv	絙
aelx	繊
aenb	績
aeqb	綍
aesv	綪
aex	絤
aey	綇
afau	純
afbu	絾 驱除
afdm	驮 参观
afgm	骁 綺麗
afhu	絨
afii	叁
afji	軬
afki	畚 奙
afom	骑
afpp	緻
afri	毵
aftm	驱
afuu	綊
afz	絰
agaw	絿
agb	紑
agci	經
agfd	緛
agkt	綆
aglv	蚩
agmm	骊
agrv	纋
aguc	縓
agvv	緉
agxj	纒 經卷
ahai	紘
ahdo	緅
ahee	紺 䌍
ahhe	縙
ahiv	緤
ahkf	縸
ahms	颒
ahqm	骐
ahs	紲
ahui	鴘
ahvi	弁
aibv	綁
aic	紂
aig	紅
ainx	練
aiov	綀
ajai	紶
ajea	繧
ajge	繻
ajjv	絓
ajkv	緒
ajmn	續
ajnm	骦
ajov	結
ajqv	続
ajrx	綕
ajwr	繐
ajxz	繨
ajzd	縺
akav	縲
akem	骋
akgl	緹
akhe	縪
akim	骒
akmm	緼
akpu	絏
akrx	緦 細心
aks	紳
akt	細
akvs	沓
aky	紬
alf	緋
alnb	緽
alvi	紪
ambi	贠
amfd	紻 納賢
amhg	繷 以點帶面 繃帶
amjv	纆 马克
amov	絅 马路 網路
amss	繃
amto	纗 綗
amuu	納
amxm	綱 納米
amyc	網
anbi	貟
ancp	緲
anfm	骃
angw	絖
aniv	綑
anov	緺 絗
anq	組
ansv	繝 綃
antn	鼐
anum	縕
anvm	驷
anxt	繉
aobi	邰
aohe	緝
aoke	繟
aom	繩
aonb	縜
aoov	絽
aori	怠
aosv	絹
aotm	驶
aoxi	炱
aozi	迨
apbe	絁
apii	矣
apjf	紩 收款
apkv	緮
aplb	綖
apni	牟
apui	鴾
apvn	纘
apxk	繙
apzi	逘
aqdp	繲
aqjc	緷
aqov	絻
aqpx	繺
aqve	紞
aran	綉
arbd	綎
arcv	緌
areu	紣
arju	紤
armh	纁
arr	紝
asfs	縩
asll	縰
asom	驹
aspf	綯
asul	縱
asvi	能 水彩 䏍
aswu	約 縱容
asxi	熊 熋 㷱
atc	紃
atdi	皴
atem	骅
athm	絺
atim	驸
atkt	緶
atoi	緥
atrr	絍
atto	雟
atui	鵕
atvi	縧 夋
atw	維
atxj	纀 驯养
atzi	逡
auas	線 總能 給水 綿綢
auev	絟
augo	給 線頭
aulg	纖
aumj	綿 總署 紅領巾
aurm	骢 纖毛
auss	紾
autu	紒
auul	緃 總歸
auvr	總
auwb	紟 結合實際
auyx	糱 出人意料 辥
auzd	縋
avb	紕
avcv	綏
aved	緩
avfq	紙
aviv	綵
avkm	骝
avlo	綹
avom	骆
avuj	縚
avxt	絩 允准
avz	絼
awem	驻
awfs	綜
awgk	縮
awhm	骧
awio	縖
awkt	縯 纊
awog	縗
awtj	纏
awvm	驼
awyx	縡
axaz	縌
axey	緧
axfu	絆
axhm	骈
axig	縒
axkp	綈
axor	縂
axqf	繗
axrz	繸
axxk	繒
ayav	統
aybl	縼
ayfg	織
ayh	絯
aykg	繵 總產量
aymo	縞
ayob	綧
ayqm	締
ayrx	繶
ayte	繂 總產值 纃 緕
ayu	紡
ayw	紋
ayxm	骍
azcm	骟
azeu	紏
